Region	Endothelial	Stroma & Regulatory T	Monocyte & Dendritic & Neutrophil & Erthrocyte & Mast & Stem	Plasma & Stroma & T	B & Effect CD4+ T & Effect CD8+ T	B & Endothelial	Macrophage & T	Effect CD4+ T & Monocyte & NK T	Innate lymphoid & T	Monocyte & Macrophage & T	Stroma & Monocyte & Dendritic & Neutrophil & Erthrocyte & Mast & Stem	B & Effect CD4 T
HBM673.TNZM.339_reg001	3396.0	9057.0	5886.0	3145.0	4593.0	5297.0	12904.0	2518.0	8752.0	3887.0	789.0	4329.0
HBM268.NKXB.243_reg1	2153.0	4070.0	2756.0	3523.0	9793.0	2226.0	12661.0	4658.0	6491.0	6107.0	1020.0	4957.0
HBM622.JXWQ.554_reg1	8786.0	7766.0	11096.0	2947.0	14015.0	7558.0	5285.0	2569.0	2868.0	2799.0	3829.0	8385.0
HBM362.RFHX.274_reg1	12900.0	6039.0	14242.0	4273.0	3053.0	4291.0	4348.0	2125.0	2100.0	2026.0	3696.0	3183.0
HBM992.RHJW.288_reg1	23401.0	15797.0	26271.0	2558.0	5370.0	2067.0	15573.0	5659.0	8206.0	6835.0	3018.0	2252.0
HBM332.QJCH.296_reg001	8862.0	5473.0	13293.0	3310.0	18913.0	12226.0	8270.0	10202.0	2701.0	9946.0	3671.0	9262.0
HBM989.VVXT.224_reg1	8838.0	3186.0	10383.0	1128.0	1656.0	6768.0	2730.0	1432.0	1082.0	1466.0	1546.0	928.0
HBM938.TNNT.879_reg1	12128.0	22042.0	15189.0	9179.0	11231.0	7560.0	27771.0	8462.0	16528.0	9543.0	6741.0	4122.0
HBM545.FGNZ.644_reg1	10153.0	8567.0	6532.0	6076.0	4120.0	3334.0	17068.0	7136.0	8885.0	8476.0	487.0	908.0
HBM822.MQNG.225_reg1		864.0	44.0	7194.0	6864.0	28.0	10933.0	7944.0	4231.0	7101.0	538.0	1317.0
HBM585.SVFL.994_reg1	48.0	1934.0	243.0	9403.0	24105.0	1952.0	18390.0	11601.0	7857.0	10824.0	666.0	17122.0
HBM443.FDHZ.888_reg001	3002.0	6222.0	2788.0	6738.0	9383.0	3518.0	14697.0	5494.0	7726.0	5302.0	2137.0	4328.0
HBM435.FHMP.758_reg001	4617.0	3886.0	3921.0	1020.0	2211.0	1638.0	4157.0	1667.0	2284.0	1844.0	1123.0	262.0
HBM997.PVCF.629_reg1	5237.0	4393.0	4692.0	1856.0	3746.0	2230.0	5588.0	2760.0	3065.0	2861.0	1528.0	463.0
HBM437.XSFH.532_reg1	3483.0	5776.0	5277.0	1906.0	3174.0	2598.0	4522.0	1931.0	2467.0	2223.0	2229.0	366.0
HBM695.NCKX.893_reg1	2608.0	3914.0	4329.0	887.0	2124.0	3929.0	2871.0	836.0	1728.0	1018.0	1259.0	846.0
HBM387.QZQF.984_reg001	12324.0	10591.0	17649.0	4174.0	6785.0	3052.0	10263.0	3208.0	6908.0	3667.0	14356.0	2025.0
HBM254.XGFQ.345_reg1	15828.0	6870.0	19589.0	1856.0	338.0	778.0	5564.0	1825.0	2711.0	2494.0	10801.0	17.0
HBM522.BSZT.385_reg1	28671.0	8985.0	29021.0	2461.0	2929.0	3342.0	12095.0	4394.0	5626.0	6055.0	4877.0	1986.0
HBM685.TBGN.663_reg1	16.0	435.0	57.0	1408.0	12833.0	1145.0	8525.0	4205.0	4174.0	4927.0	117.0	11643.0
HBM557.SGTC.262_reg1	10027.0	15232.0	14127.0	4068.0	1710.0	5115.0	17672.0	2888.0	12750.0	4039.0	4556.0	1387.0
HBM796.FXBG.243_reg1	6159.0	3444.0	9576.0	3535.0	1063.0	2935.0	1617.0	1264.0	613.0	1214.0	2651.0	918.0
HBM347.PSLC.425_reg1	8122.0	5117.0	12564.0	3294.0	8115.0	9562.0	3606.0	1307.0	2384.0	1415.0	9417.0	7532.0
