source	target	count
intermediate monocyte	erythrocyte	19
intermediate monocyte	hematopoietic stem cell	37
intermediate monocyte	innate lymphoid cell	27
intermediate monocyte	macrophage	77
intermediate monocyte	mature NK T cell	71
intermediate monocyte	memory B cell	81
intermediate monocyte	naive B cell	32
intermediate monocyte	naive thymus-derived CD4-positive, alpha-beta T cell	60
intermediate monocyte	naive thymus-derived CD8-positive, alpha-beta T cell	34
intermediate monocyte	neutrophil	55
intermediate monocyte	plasma cell	85
intermediate monocyte	plasmacytoid dendritic cell	57
intermediate monocyte	platelet	36
intermediate monocyte	regulatory T cell	48
intermediate monocyte	type I NK T cell	74
macrophage	CD1c-positive myeloid dendritic cell	142
macrophage	CD4-positive, alpha-beta memory T cell	218
macrophage	CD8-positive, alpha-beta memory T cell	254
macrophage	classical monocyte	267
macrophage	endothelial cell	255
macrophage	erythrocyte	76
macrophage	hematopoietic stem cell	103
macrophage	innate lymphoid cell	107
macrophage	intermediate monocyte	67
macrophage	mature NK T cell	222
macrophage	memory B cell	270
macrophage	naive B cell	87
macrophage	naive thymus-derived CD4-positive, alpha-beta T cell	187
macrophage	naive thymus-derived CD8-positive, alpha-beta T cell	124
macrophage	neutrophil	181
macrophage	plasma cell	285
macrophage	plasmacytoid dendritic cell	143
macrophage	platelet	90
macrophage	regulatory T cell	168
macrophage	type I NK T cell	199
mature NK T cell	CD1c-positive myeloid dendritic cell	116
mature NK T cell	CD4-positive, alpha-beta memory T cell	183
mature NK T cell	CD8-positive, alpha-beta memory T cell	214
mature NK T cell	classical monocyte	236
mature NK T cell	endothelial cell	225
mature NK T cell	erythrocyte	71
mature NK T cell	hematopoietic stem cell	96
mature NK T cell	innate lymphoid cell	96
mature NK T cell	intermediate monocyte	62
mature NK T cell	macrophage	212
mature NK T cell	memory B cell	230
mature NK T cell	naive B cell	76
mature NK T cell	naive thymus-derived CD4-positive, alpha-beta T cell	158
mature NK T cell	naive thymus-derived CD8-positive, alpha-beta T cell	103
mature NK T cell	neutrophil	153
mature NK T cell	plasma cell	245
mature NK T cell	plasmacytoid dendritic cell	123
mature NK T cell	platelet	81
mature NK T cell	regulatory T cell	137
mature NK T cell	type I NK T cell	168
memory B cell	CD1c-positive myeloid dendritic cell	133
memory B cell	CD4-positive, alpha-beta memory T cell	221
memory B cell	CD8-positive, alpha-beta memory T cell	265
memory B cell	classical monocyte	286
memory B cell	endothelial cell	280
memory B cell	erythrocyte	80
memory B cell	hematopoietic stem cell	102
memory B cell	innate lymphoid cell	99
memory B cell	intermediate monocyte	60
memory B cell	macrophage	248
memory B cell	mature NK T cell	224
memory B cell	naive B cell	83
memory B cell	naive thymus-derived CD4-positive, alpha-beta T cell	197
memory B cell	naive thymus-derived CD8-positive, alpha-beta T cell	115
memory B cell	neutrophil	177
memory B cell	plasma cell	304
memory B cell	plasmacytoid dendritic cell	139
memory B cell	platelet	96
memory B cell	regulatory T cell	167
memory B cell	type I NK T cell	194
naive B cell	CD1c-positive myeloid dendritic cell	68
naive B cell	CD4-positive, alpha-beta memory T cell	96
naive B cell	CD8-positive, alpha-beta memory T cell	117
naive B cell	classical monocyte	114
naive B cell	endothelial cell	104
naive B cell	erythrocyte	35
naive B cell	hematopoietic stem cell	43
naive B cell	innate lymphoid cell	42
naive B cell	intermediate monocyte	36
naive B cell	macrophage	108
naive B cell	mature NK T cell	99
naive B cell	memory B cell	118
naive B cell	naive thymus-derived CD4-positive, alpha-beta T cell	85
naive B cell	naive thymus-derived CD8-positive, alpha-beta T cell	59
naive B cell	neutrophil	73
naive B cell	plasma cell	122
naive B cell	plasmacytoid dendritic cell	75
naive B cell	platelet	40
naive B cell	regulatory T cell	69
naive B cell	type I NK T cell	92
naive thymus-derived CD4-positive, alpha-beta T cell	CD1c-positive myeloid dendritic cell	107
naive thymus-derived CD4-positive, alpha-beta T cell	CD4-positive, alpha-beta memory T cell	169
naive thymus-derived CD4-positive, alpha-beta T cell	CD8-positive, alpha-beta memory T cell	201
naive thymus-derived CD4-positive, alpha-beta T cell	classical monocyte	214
naive thymus-derived CD4-positive, alpha-beta T cell	endothelial cell	206
naive thymus-derived CD4-positive, alpha-beta T cell	erythrocyte	62
naive thymus-derived CD4-positive, alpha-beta T cell	hematopoietic stem cell	89
naive thymus-derived CD4-positive, alpha-beta T cell	innate lymphoid cell	86
naive thymus-derived CD4-positive, alpha-beta T cell	intermediate monocyte	55
naive thymus-derived CD4-positive, alpha-beta T cell	macrophage	198
naive thymus-derived CD4-positive, alpha-beta T cell	mature NK T cell	176
naive thymus-derived CD4-positive, alpha-beta T cell	memory B cell	210
naive thymus-derived CD4-positive, alpha-beta T cell	naive B cell	71
naive thymus-derived CD4-positive, alpha-beta T cell	naive thymus-derived CD8-positive, alpha-beta T cell	100
naive thymus-derived CD4-positive, alpha-beta T cell	neutrophil	141
naive thymus-derived CD4-positive, alpha-beta T cell	plasma cell	219
naive thymus-derived CD4-positive, alpha-beta T cell	plasmacytoid dendritic cell	115
naive thymus-derived CD4-positive, alpha-beta T cell	platelet	72
naive thymus-derived CD4-positive, alpha-beta T cell	regulatory T cell	127
naive thymus-derived CD4-positive, alpha-beta T cell	type I NK T cell	157
naive thymus-derived CD8-positive, alpha-beta T cell	CD1c-positive myeloid dendritic cell	63
naive thymus-derived CD8-positive, alpha-beta T cell	CD4-positive, alpha-beta memory T cell	96
naive thymus-derived CD8-positive, alpha-beta T cell	CD8-positive, alpha-beta memory T cell	123
naive thymus-derived CD8-positive, alpha-beta T cell	classical monocyte	129
naive thymus-derived CD8-positive, alpha-beta T cell	endothelial cell	115
naive thymus-derived CD8-positive, alpha-beta T cell	erythrocyte	39
naive thymus-derived CD8-positive, alpha-beta T cell	hematopoietic stem cell	49
naive thymus-derived CD8-positive, alpha-beta T cell	innate lymphoid cell	50
naive thymus-derived CD8-positive, alpha-beta T cell	intermediate monocyte	39
naive thymus-derived CD8-positive, alpha-beta T cell	macrophage	117
naive thymus-derived CD8-positive, alpha-beta T cell	mature NK T cell	104
naive thymus-derived CD8-positive, alpha-beta T cell	memory B cell	124
naive thymus-derived CD8-positive, alpha-beta T cell	naive B cell	42
naive thymus-derived CD8-positive, alpha-beta T cell	naive thymus-derived CD4-positive, alpha-beta T cell	82
naive thymus-derived CD8-positive, alpha-beta T cell	neutrophil	82
naive thymus-derived CD8-positive, alpha-beta T cell	plasma cell	130
naive thymus-derived CD8-positive, alpha-beta T cell	plasmacytoid dendritic cell	72
naive thymus-derived CD8-positive, alpha-beta T cell	platelet	42
naive thymus-derived CD8-positive, alpha-beta T cell	regulatory T cell	73
naive thymus-derived CD8-positive, alpha-beta T cell	type I NK T cell	90
neutrophil	CD1c-positive myeloid dendritic cell	110
neutrophil	CD4-positive, alpha-beta memory T cell	163
neutrophil	CD8-positive, alpha-beta memory T cell	194
neutrophil	classical monocyte	211
neutrophil	endothelial cell	201
neutrophil	erythrocyte	52
neutrophil	hematopoietic stem cell	80
neutrophil	innate lymphoid cell	74
neutrophil	intermediate monocyte	53
neutrophil	macrophage	185
neutrophil	mature NK T cell	167
neutrophil	memory B cell	207
neutrophil	naive B cell	68
neutrophil	naive thymus-derived CD4-positive, alpha-beta T cell	141
neutrophil	naive thymus-derived CD8-positive, alpha-beta T cell	91
neutrophil	plasma cell	216
neutrophil	plasmacytoid dendritic cell	114
neutrophil	platelet	74
neutrophil	regulatory T cell	127
neutrophil	type I NK T cell	152
plasma cell	CD1c-positive myeloid dendritic cell	142
plasma cell	CD4-positive, alpha-beta memory T cell	231
plasma cell	CD8-positive, alpha-beta memory T cell	276
plasma cell	classical monocyte	302
plasma cell	endothelial cell	301
plasma cell	erythrocyte	87
plasma cell	hematopoietic stem cell	117
plasma cell	innate lymphoid cell	105
plasma cell	intermediate monocyte	70
plasma cell	macrophage	262
plasma cell	mature NK T cell	237
plasma cell	memory B cell	299
plasma cell	naive B cell	91
plasma cell	naive thymus-derived CD4-positive, alpha-beta T cell	203
plasma cell	naive thymus-derived CD8-positive, alpha-beta T cell	126
plasma cell	neutrophil	187
plasma cell	plasmacytoid dendritic cell	154
plasma cell	platelet	102
plasma cell	regulatory T cell	173
plasma cell	type I NK T cell	212
plasmacytoid dendritic cell	CD1c-positive myeloid dendritic cell	84
plasmacytoid dendritic cell	CD4-positive, alpha-beta memory T cell	117
plasmacytoid dendritic cell	CD8-positive, alpha-beta memory T cell	140
plasmacytoid dendritic cell	classical monocyte	139
plasmacytoid dendritic cell	endothelial cell	132
plasmacytoid dendritic cell	erythrocyte	39
plasmacytoid dendritic cell	hematopoietic stem cell	55
plasmacytoid dendritic cell	innate lymphoid cell	52
plasmacytoid dendritic cell	intermediate monocyte	41
plasmacytoid dendritic cell	macrophage	130
plasmacytoid dendritic cell	mature NK T cell	120
plasmacytoid dendritic cell	memory B cell	141
plasmacytoid dendritic cell	naive B cell	50
plasmacytoid dendritic cell	naive thymus-derived CD4-positive, alpha-beta T cell	102
plasmacytoid dendritic cell	naive thymus-derived CD8-positive, alpha-beta T cell	61
plasmacytoid dendritic cell	neutrophil	93
plasmacytoid dendritic cell	plasma cell	147
plasmacytoid dendritic cell	platelet	53
plasmacytoid dendritic cell	regulatory T cell	91
plasmacytoid dendritic cell	type I NK T cell	117
