source	target	count
erythrocyte	hematopoietic stem cell	26
erythrocyte	innate lymphoid cell	21
erythrocyte	intermediate monocyte	18
erythrocyte	macrophage	69
erythrocyte	mature NK T cell	60
erythrocyte	memory B cell	80
erythrocyte	naive B cell	28
erythrocyte	naive thymus-derived CD4-positive, alpha-beta T cell	52
erythrocyte	naive thymus-derived CD8-positive, alpha-beta T cell	29
erythrocyte	neutrophil	52
erythrocyte	plasma cell	84
erythrocyte	plasmacytoid dendritic cell	40
erythrocyte	platelet	26
erythrocyte	regulatory T cell	43
erythrocyte	type I NK T cell	64
hematopoietic stem cell	CD1c-positive myeloid dendritic cell	70
hematopoietic stem cell	CD4-positive, alpha-beta memory T cell	102
hematopoietic stem cell	CD8-positive, alpha-beta memory T cell	123
hematopoietic stem cell	classical monocyte	130
hematopoietic stem cell	endothelial cell	122
hematopoietic stem cell	erythrocyte	27
hematopoietic stem cell	innate lymphoid cell	42
hematopoietic stem cell	intermediate monocyte	32
hematopoietic stem cell	macrophage	112
hematopoietic stem cell	mature NK T cell	105
hematopoietic stem cell	memory B cell	124
hematopoietic stem cell	naive B cell	43
hematopoietic stem cell	naive thymus-derived CD4-positive, alpha-beta T cell	94
hematopoietic stem cell	naive thymus-derived CD8-positive, alpha-beta T cell	46
hematopoietic stem cell	neutrophil	85
hematopoietic stem cell	plasma cell	132
hematopoietic stem cell	plasmacytoid dendritic cell	67
hematopoietic stem cell	platelet	47
hematopoietic stem cell	regulatory T cell	82
hematopoietic stem cell	type I NK T cell	103
innate lymphoid cell	CD1c-positive myeloid dendritic cell	72
innate lymphoid cell	CD4-positive, alpha-beta memory T cell	109
innate lymphoid cell	CD8-positive, alpha-beta memory T cell	135
innate lymphoid cell	classical monocyte	143
innate lymphoid cell	endothelial cell	129
innate lymphoid cell	erythrocyte	33
innate lymphoid cell	hematopoietic stem cell	58
innate lymphoid cell	intermediate monocyte	43
innate lymphoid cell	macrophage	128
innate lymphoid cell	mature NK T cell	115
innate lymphoid cell	memory B cell	142
innate lymphoid cell	naive B cell	56
innate lymphoid cell	naive thymus-derived CD4-positive, alpha-beta T cell	97
innate lymphoid cell	naive thymus-derived CD8-positive, alpha-beta T cell	62
innate lymphoid cell	neutrophil	93
innate lymphoid cell	plasma cell	146
innate lymphoid cell	plasmacytoid dendritic cell	85
innate lymphoid cell	platelet	46
innate lymphoid cell	regulatory T cell	84
innate lymphoid cell	type I NK T cell	108
intermediate monocyte	CD1c-positive myeloid dendritic cell	55
intermediate monocyte	CD4-positive, alpha-beta memory T cell	67
intermediate monocyte	CD8-positive, alpha-beta memory T cell	82
intermediate monocyte	classical monocyte	88
intermediate monocyte	endothelial cell	83
