source	target	count
erythrocyte	hematopoietic stem cell	26
erythrocyte	innate lymphoid cell	21
erythrocyte	intermediate monocyte	18
erythrocyte	macrophage	66
erythrocyte	mature NK T cell	59
erythrocyte	memory B cell	75
erythrocyte	naive B cell	26
erythrocyte	naive thymus-derived CD4-positive, alpha-beta T cell	50
erythrocyte	naive thymus-derived CD8-positive, alpha-beta T cell	33
erythrocyte	neutrophil	49
erythrocyte	plasma cell	83
erythrocyte	plasmacytoid dendritic cell	40
erythrocyte	platelet	22
erythrocyte	regulatory T cell	42
erythrocyte	type I NK T cell	62
hematopoietic stem cell	CD1c-positive myeloid dendritic cell	57
hematopoietic stem cell	CD4-positive, alpha-beta memory T cell	90
hematopoietic stem cell	CD8-positive, alpha-beta memory T cell	109
hematopoietic stem cell	classical monocyte	111
hematopoietic stem cell	endothelial cell	104
hematopoietic stem cell	erythrocyte	24
hematopoietic stem cell	innate lymphoid cell	38
hematopoietic stem cell	intermediate monocyte	26
hematopoietic stem cell	macrophage	91
hematopoietic stem cell	mature NK T cell	94
hematopoietic stem cell	memory B cell	108
hematopoietic stem cell	naive B cell	35
hematopoietic stem cell	naive thymus-derived CD4-positive, alpha-beta T cell	83
hematopoietic stem cell	naive thymus-derived CD8-positive, alpha-beta T cell	45
hematopoietic stem cell	neutrophil	68
hematopoietic stem cell	plasma cell	118
hematopoietic stem cell	plasmacytoid dendritic cell	59
hematopoietic stem cell	platelet	40
hematopoietic stem cell	regulatory T cell	75
hematopoietic stem cell	type I NK T cell	92
innate lymphoid cell	CD1c-positive myeloid dendritic cell	67
innate lymphoid cell	CD4-positive, alpha-beta memory T cell	109
innate lymphoid cell	CD8-positive, alpha-beta memory T cell	133
innate lymphoid cell	classical monocyte	137
innate lymphoid cell	endothelial cell	119
innate lymphoid cell	erythrocyte	33
innate lymphoid cell	hematopoietic stem cell	50
innate lymphoid cell	intermediate monocyte	39
innate lymphoid cell	macrophage	117
innate lymphoid cell	mature NK T cell	113
innate lymphoid cell	memory B cell	132
innate lymphoid cell	naive B cell	50
innate lymphoid cell	naive thymus-derived CD4-positive, alpha-beta T cell	93
innate lymphoid cell	naive thymus-derived CD8-positive, alpha-beta T cell	66
innate lymphoid cell	neutrophil	92
innate lymphoid cell	plasma cell	142
innate lymphoid cell	plasmacytoid dendritic cell	84
innate lymphoid cell	platelet	33
innate lymphoid cell	regulatory T cell	83
innate lymphoid cell	type I NK T cell	109
intermediate monocyte	CD1c-positive myeloid dendritic cell	48
intermediate monocyte	CD4-positive, alpha-beta memory T cell	63
intermediate monocyte	CD8-positive, alpha-beta memory T cell	76
intermediate monocyte	classical monocyte	79
intermediate monocyte	endothelial cell	74
