column	ligand	receptor	value	count	source	target	tissue	region
B cell|CD141-positive myeloid dendritic cell	CADM3	EPB41L1	0.033	16	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|CD141-positive myeloid dendritic cell	CEACAM1	SELE	1.544	16	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|CD141-positive myeloid dendritic cell	COL4A3	ADGRG6	0.801	16	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|CD141-positive myeloid dendritic cell	APP	CD74	0.625	16	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|CD141-positive myeloid dendritic cell	APP	TNFRSF21	0.589	16	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|CD141-positive myeloid dendritic cell	BDNF	SORT1	0.139	16	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|CD141-positive myeloid dendritic cell	CCL21	CCR7	0.965	16	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|CD141-positive myeloid dendritic cell	EFNA3	EPHA2	1.897	16	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|CD141-positive myeloid dendritic cell	EFNA4	EPHA2	1.892	16	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|CD141-positive myeloid dendritic cell	EFNA3	EPHA3	0.458	16	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|CD141-positive myeloid dendritic cell	EFNA4	EPHA3	0.452	16	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|CD141-positive myeloid dendritic cell	LGALS9	HAVCR2	0.849	16	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|CD141-positive myeloid dendritic cell	LTB	LTBR	1.542	16	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|CD141-positive myeloid dendritic cell	WNT16	SFRP4	0.809	16	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|CD141-positive myeloid dendritic cell	CD52	SIGLEC10	0.588	16	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|CD141-positive myeloid dendritic cell	MPZL1	MPZL1	0.438	16	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|CD1c-positive myeloid dendritic cell	CEACAM1	CD209	1.284	18	B cell	CD1c-positive myeloid dendritic cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|CD1c-positive myeloid dendritic cell	COL4A3	ADGRG6	0.453	18	B cell	CD1c-positive myeloid dendritic cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|CD1c-positive myeloid dendritic cell	APP	CD74	0.264	18	B cell	CD1c-positive myeloid dendritic cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|CD1c-positive myeloid dendritic cell	APP	TNFRSF21	1.003	18	B cell	CD1c-positive myeloid dendritic cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|CD1c-positive myeloid dendritic cell	BDNF	SORT1	1.086	18	B cell	CD1c-positive myeloid dendritic cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|CD1c-positive myeloid dendritic cell	C5	C5AR2	2.323	18	B cell	CD1c-positive myeloid dendritic cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|CD1c-positive myeloid dendritic cell	C5	C5AR1	1.992	18	B cell	CD1c-positive myeloid dendritic cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|CD1c-positive myeloid dendritic cell	EDN1	EDNRB	0.804	18	B cell	CD1c-positive myeloid dendritic cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|CD1c-positive myeloid dendritic cell	LGALS9	HAVCR2	1.365	18	B cell	CD1c-positive myeloid dendritic cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|CD1c-positive myeloid dendritic cell	HLA-G	LILRB1	0.874	18	B cell	CD1c-positive myeloid dendritic cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|CD1c-positive myeloid dendritic cell	HLA-G	LILRB2	3.214	18	B cell	CD1c-positive myeloid dendritic cell	lymph_node	HBM622.JXWQ.554_reg1
B cell|CD1c-positive myeloid dendritic cell	LTB	LTBR	2.473	18	B cell	CD1c-positive myeloid dendritic cell	lymph_node	HBM622.JXWQ.554_reg1
