Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
ENSG00000008394	0.1002505121729923	0.0	1.888365049500933e-08	0.0
ENSG00000197766	0.0984531322664253	0.0	1.888365049500933e-08	0.0
ENSG00000011465	0.0948719163388005	0.0	1.888365049500933e-08	0.0
ENSG00000125730	0.0939463529414826	0.0	1.888365049500933e-08	0.0
ENSG00000163520	0.0914351141479323	0.0	1.888365049500933e-08	0.0
ENSG00000189058	0.0903952982922064	0.0	1.888365049500933e-08	0.0
ENSG00000123384	0.0897249432386866	0.0	1.888365049500933e-08	0.0
ENSG00000087245	0.0890289739753936	0.0	1.888365049500933e-08	0.0
ENSG00000196616	0.0860953277263726	0.0	1.888365049500933e-08	0.0
ENSG00000077942	0.0853706564524901	0.0	1.888365049500933e-08	0.0
ENSG00000182326	0.0826265984901764	0.0	1.888365049500933e-08	0.0
ENSG00000101439	0.0815330769966436	0.0	1.888365049500933e-08	0.0
ENSG00000139329	0.0814330055607951	0.0	1.888365049500933e-08	0.0
ENSG00000132386	0.0797948358162991	0.0	1.888365049500933e-08	0.0
ENSG00000115380	0.0793379665871267	0.0	1.888365049500933e-08	0.0
ENSG00000087086	0.0786166354753748	0.0	1.888365049500933e-08	0.0
ENSG00000196569	0.0783800659047421	0.0	1.888365049500933e-08	0.0
ENSG00000148180	0.0778794590606302	0.0	1.888365049500933e-08	0.0
ENSG00000121966	0.0763612624748114	0.0	1.888365049500933e-08	0.0
ENSG00000198851	0.0757129762041723	0.0	1.888365049500933e-08	0.0
ENSG00000166741	0.074929772368386	0.0	1.888365049500933e-08	0.0
ENSG00000135047	0.0741169100734843	0.0	1.888365049500933e-08	0.0
ENSG00000163430	0.0740586655908862	0.0	1.888365049500933e-08	0.0
ENSG00000149131	0.0722066130014219	0.0	1.888365049500933e-08	0.0
ENSG00000111341	0.0712587664178333	0.0	1.888365049500933e-08	0.0
ENSG00000133639	0.0706547854633419	0.0	1.888365049500933e-08	0.0
ENSG00000174348	0.0703078671861929	0.0	1.888365049500933e-08	0.0
ENSG00000168685	0.0698945059007975	0.0	1.888365049500933e-08	0.0
ENSG00000109099	0.069128257368373	0.0	1.888365049500933e-08	0.0
ENSG00000166147	0.0690535988663982	0.0	1.888365049500933e-08	0.0
ENSG00000197614	0.0687598044947723	0.0	1.888365049500933e-08	0.0
ENSG00000100979	0.0685719579923035	0.0	1.888365049500933e-08	0.0
ENSG00000168079	0.0684751401333645	0.0	1.888365049500933e-08	0.0
ENSG00000134853	0.0681536952543375	0.0	1.888365049500933e-08	0.0
ENSG00000142089	0.0679848441685077	0.0	1.888365049500933e-08	0.0
