source	target	count
intermediate monocyte	erythrocyte	19
intermediate monocyte	hematopoietic stem cell	37
intermediate monocyte	innate lymphoid cell	27
intermediate monocyte	macrophage	77
intermediate monocyte	mature NK T cell	71
intermediate monocyte	memory B cell	81
intermediate monocyte	naive B cell	32
intermediate monocyte	naive thymus-derived CD4-positive, alpha-beta T cell	60
intermediate monocyte	naive thymus-derived CD8-positive, alpha-beta T cell	34
intermediate monocyte	neutrophil	55
intermediate monocyte	plasma cell	85
intermediate monocyte	plasmacytoid dendritic cell	57
intermediate monocyte	platelet	36
intermediate monocyte	regulatory T cell	48
intermediate monocyte	type I NK T cell	74
macrophage	CD1c-positive myeloid dendritic cell	142
macrophage	CD4-positive, alpha-beta memory T cell	222
macrophage	CD8-positive, alpha-beta memory T cell	255
macrophage	classical monocyte	269
macrophage	endothelial cell	259
macrophage	erythrocyte	77
macrophage	hematopoietic stem cell	104
macrophage	innate lymphoid cell	107
macrophage	intermediate monocyte	67
macrophage	mature NK T cell	224
macrophage	memory B cell	272
macrophage	naive B cell	88
macrophage	naive thymus-derived CD4-positive, alpha-beta T cell	189
macrophage	naive thymus-derived CD8-positive, alpha-beta T cell	125
macrophage	neutrophil	184
macrophage	plasma cell	288
macrophage	plasmacytoid dendritic cell	143
macrophage	platelet	91
macrophage	regulatory T cell	176
macrophage	type I NK T cell	200
mature NK T cell	CD1c-positive myeloid dendritic cell	117
mature NK T cell	CD4-positive, alpha-beta memory T cell	185
mature NK T cell	CD8-positive, alpha-beta memory T cell	214
mature NK T cell	classical monocyte	238
mature NK T cell	endothelial cell	229
mature NK T cell	erythrocyte	71
mature NK T cell	hematopoietic stem cell	96
mature NK T cell	innate lymphoid cell	95
mature NK T cell	intermediate monocyte	62
mature NK T cell	macrophage	213
mature NK T cell	memory B cell	231
mature NK T cell	naive B cell	77
mature NK T cell	naive thymus-derived CD4-positive, alpha-beta T cell	159
mature NK T cell	naive thymus-derived CD8-positive, alpha-beta T cell	103
mature NK T cell	neutrophil	155
mature NK T cell	plasma cell	247
mature NK T cell	plasmacytoid dendritic cell	124
mature NK T cell	platelet	82
mature NK T cell	regulatory T cell	142
mature NK T cell	type I NK T cell	169
memory B cell	CD1c-positive myeloid dendritic cell	134
memory B cell	CD4-positive, alpha-beta memory T cell	226
memory B cell	CD8-positive, alpha-beta memory T cell	266
memory B cell	classical monocyte	289
memory B cell	endothelial cell	283
memory B cell	erythrocyte	80
memory B cell	hematopoietic stem cell	102
memory B cell	innate lymphoid cell	99
memory B cell	intermediate monocyte	60
memory B cell	macrophage	249
memory B cell	mature NK T cell	226
memory B cell	naive B cell	83
memory B cell	naive thymus-derived CD4-positive, alpha-beta T cell	199
memory B cell	naive thymus-derived CD8-positive, alpha-beta T cell	116
memory B cell	neutrophil	180
memory B cell	plasma cell	307
memory B cell	plasmacytoid dendritic cell	139
memory B cell	platelet	96
memory B cell	regulatory T cell	174
memory B cell	type I NK T cell	195
naive B cell	CD1c-positive myeloid dendritic cell	68
naive B cell	CD4-positive, alpha-beta memory T cell	96
naive B cell	CD8-positive, alpha-beta memory T cell	117
naive B cell	classical monocyte	114
naive B cell	endothelial cell	104
naive B cell	erythrocyte	35
naive B cell	hematopoietic stem cell	43
naive B cell	innate lymphoid cell	42
naive B cell	intermediate monocyte	36
naive B cell	macrophage	108
naive B cell	mature NK T cell	99
naive B cell	memory B cell	118
naive B cell	naive thymus-derived CD4-positive, alpha-beta T cell	85
naive B cell	naive thymus-derived CD8-positive, alpha-beta T cell	59
naive B cell	neutrophil	74
naive B cell	plasma cell	122
naive B cell	plasmacytoid dendritic cell	75
naive B cell	platelet	40
naive B cell	regulatory T cell	72
naive B cell	type I NK T cell	92
naive thymus-derived CD4-positive, alpha-beta T cell	CD1c-positive myeloid dendritic cell	107
naive thymus-derived CD4-positive, alpha-beta T cell	CD4-positive, alpha-beta memory T cell	171
naive thymus-derived CD4-positive, alpha-beta T cell	CD8-positive, alpha-beta memory T cell	201
naive thymus-derived CD4-positive, alpha-beta T cell	classical monocyte	214
naive thymus-derived CD4-positive, alpha-beta T cell	endothelial cell	208
naive thymus-derived CD4-positive, alpha-beta T cell	erythrocyte	62
naive thymus-derived CD4-positive, alpha-beta T cell	hematopoietic stem cell	90
naive thymus-derived CD4-positive, alpha-beta T cell	innate lymphoid cell	85
naive thymus-derived CD4-positive, alpha-beta T cell	intermediate monocyte	55
naive thymus-derived CD4-positive, alpha-beta T cell	macrophage	197
naive thymus-derived CD4-positive, alpha-beta T cell	mature NK T cell	175
naive thymus-derived CD4-positive, alpha-beta T cell	memory B cell	211
naive thymus-derived CD4-positive, alpha-beta T cell	naive B cell	71
naive thymus-derived CD4-positive, alpha-beta T cell	naive thymus-derived CD8-positive, alpha-beta T cell	100
naive thymus-derived CD4-positive, alpha-beta T cell	neutrophil	142
naive thymus-derived CD4-positive, alpha-beta T cell	plasma cell	220
naive thymus-derived CD4-positive, alpha-beta T cell	plasmacytoid dendritic cell	115
naive thymus-derived CD4-positive, alpha-beta T cell	platelet	72
naive thymus-derived CD4-positive, alpha-beta T cell	regulatory T cell	132
naive thymus-derived CD4-positive, alpha-beta T cell	type I NK T cell	158
naive thymus-derived CD8-positive, alpha-beta T cell	CD1c-positive myeloid dendritic cell	64
naive thymus-derived CD8-positive, alpha-beta T cell	CD4-positive, alpha-beta memory T cell	98
naive thymus-derived CD8-positive, alpha-beta T cell	CD8-positive, alpha-beta memory T cell	125
naive thymus-derived CD8-positive, alpha-beta T cell	classical monocyte	133
naive thymus-derived CD8-positive, alpha-beta T cell	endothelial cell	121
naive thymus-derived CD8-positive, alpha-beta T cell	erythrocyte	40
naive thymus-derived CD8-positive, alpha-beta T cell	hematopoietic stem cell	50
naive thymus-derived CD8-positive, alpha-beta T cell	innate lymphoid cell	50
naive thymus-derived CD8-positive, alpha-beta T cell	intermediate monocyte	40
naive thymus-derived CD8-positive, alpha-beta T cell	macrophage	120
naive thymus-derived CD8-positive, alpha-beta T cell	mature NK T cell	105
naive thymus-derived CD8-positive, alpha-beta T cell	memory B cell	128
naive thymus-derived CD8-positive, alpha-beta T cell	naive B cell	44
naive thymus-derived CD8-positive, alpha-beta T cell	naive thymus-derived CD4-positive, alpha-beta T cell	83
naive thymus-derived CD8-positive, alpha-beta T cell	neutrophil	85
naive thymus-derived CD8-positive, alpha-beta T cell	plasma cell	133
naive thymus-derived CD8-positive, alpha-beta T cell	plasmacytoid dendritic cell	73
naive thymus-derived CD8-positive, alpha-beta T cell	platelet	44
naive thymus-derived CD8-positive, alpha-beta T cell	regulatory T cell	77
naive thymus-derived CD8-positive, alpha-beta T cell	type I NK T cell	92
neutrophil	CD1c-positive myeloid dendritic cell	113
neutrophil	CD4-positive, alpha-beta memory T cell	170
neutrophil	CD8-positive, alpha-beta memory T cell	196
neutrophil	classical monocyte	215
neutrophil	endothelial cell	205
neutrophil	erythrocyte	53
neutrophil	hematopoietic stem cell	82
neutrophil	innate lymphoid cell	76
neutrophil	intermediate monocyte	56
neutrophil	macrophage	189
neutrophil	mature NK T cell	170
neutrophil	memory B cell	210
neutrophil	naive B cell	69
neutrophil	naive thymus-derived CD4-positive, alpha-beta T cell	144
neutrophil	naive thymus-derived CD8-positive, alpha-beta T cell	93
neutrophil	plasma cell	221
neutrophil	plasmacytoid dendritic cell	118
neutrophil	platelet	77
neutrophil	regulatory T cell	136
neutrophil	type I NK T cell	155
plasma cell	CD1c-positive myeloid dendritic cell	142
plasma cell	CD4-positive, alpha-beta memory T cell	236
plasma cell	CD8-positive, alpha-beta memory T cell	275
plasma cell	classical monocyte	303
plasma cell	endothelial cell	303
plasma cell	erythrocyte	87
plasma cell	hematopoietic stem cell	117
plasma cell	innate lymphoid cell	104
plasma cell	intermediate monocyte	70
plasma cell	macrophage	262
plasma cell	mature NK T cell	237
plasma cell	memory B cell	299
plasma cell	naive B cell	91
plasma cell	naive thymus-derived CD4-positive, alpha-beta T cell	204
plasma cell	naive thymus-derived CD8-positive, alpha-beta T cell	126
plasma cell	neutrophil	189
plasma cell	plasmacytoid dendritic cell	154
plasma cell	platelet	102
plasma cell	regulatory T cell	179
plasma cell	type I NK T cell	212
plasmacytoid dendritic cell	CD1c-positive myeloid dendritic cell	84
plasmacytoid dendritic cell	CD4-positive, alpha-beta memory T cell	118
plasmacytoid dendritic cell	CD8-positive, alpha-beta memory T cell	140
plasmacytoid dendritic cell	classical monocyte	139
plasmacytoid dendritic cell	endothelial cell	132
plasmacytoid dendritic cell	erythrocyte	39
plasmacytoid dendritic cell	hematopoietic stem cell	55
plasmacytoid dendritic cell	innate lymphoid cell	52
plasmacytoid dendritic cell	intermediate monocyte	41
plasmacytoid dendritic cell	macrophage	130
plasmacytoid dendritic cell	mature NK T cell	120
plasmacytoid dendritic cell	memory B cell	141
plasmacytoid dendritic cell	naive B cell	50
plasmacytoid dendritic cell	naive thymus-derived CD4-positive, alpha-beta T cell	102
plasmacytoid dendritic cell	naive thymus-derived CD8-positive, alpha-beta T cell	61
plasmacytoid dendritic cell	neutrophil	94
plasmacytoid dendritic cell	plasma cell	147
plasmacytoid dendritic cell	platelet	53
plasmacytoid dendritic cell	regulatory T cell	95
plasmacytoid dendritic cell	type I NK T cell	117
