	I	pval_norm	var_norm	pval_norm_fdr_bh
ENSG00000105974	0.13965359548861742	0.0	2.5973177828107188e-08	0.0
ENSG00000142910	0.1391044319274	0.0	2.5973177828107188e-08	0.0
ENSG00000182809	0.1370096201195275	0.0	2.5973177828107188e-08	0.0
ENSG00000175899	0.13387662093974684	0.0	2.5973177828107188e-08	0.0
ENSG00000142089	0.1259784195872351	0.0	2.5973177828107188e-08	0.0
ENSG00000060138	0.12521630394891942	0.0	2.5973177828107188e-08	0.0
ENSG00000100234	0.12474078534528421	0.0	2.5973177828107188e-08	0.0
ENSG00000116016	0.12451536313592029	0.0	2.5973177828107188e-08	0.0
ENSG00000169908	0.12291737563470613	0.0	2.5973177828107188e-08	0.0
ENSG00000124762	0.12268967152177156	0.0	2.5973177828107188e-08	0.0
ENSG00000148671	0.11964976242124399	0.0	2.5973177828107188e-08	0.0
ENSG00000149564	0.11480441731017633	0.0	2.5973177828107188e-08	0.0
ENSG00000154734	0.11168493882444036	0.0	2.5973177828107188e-08	0.0
ENSG00000130592	0.11121981384417698	0.0	2.5973177828107188e-08	0.0
ENSG00000105971	0.11084711020207834	0.0	2.5973177828107188e-08	0.0
ENSG00000067113	0.11028064905990899	0.0	2.5973177828107188e-08	0.0
ENSG00000159335	0.10912372498567009	0.0	2.5973177828107188e-08	0.0
ENSG00000142192	0.10876118933893285	0.0	2.5973177828107188e-08	0.0
ENSG00000177469	0.10806427538166584	0.0	2.5973177828107188e-08	0.0
ENSG00000187244	0.10687291086523577	0.0	2.5973177828107188e-08	0.0
ENSG00000163453	0.10351654206912451	0.0	2.5973177828107188e-08	0.0
ENSG00000051523	0.10283730018508364	0.0	2.5973177828107188e-08	0.0
ENSG00000128340	0.10235584317540172	0.0	2.5973177828107188e-08	0.0
ENSG00000172183	0.10217016940029346	0.0	2.5973177828107188e-08	0.0
ENSG00000100243	0.10085532979500247	0.0	2.5973177828107188e-08	0.0
ENSG00000221869	0.1003283011773132	0.0	2.5973177828107188e-08	0.0
ENSG00000177697	0.09846551158208344	0.0	2.5973177828107188e-08	0.0
ENSG00000152583	0.09822423060660061	0.0	2.5973177828107188e-08	0.0
ENSG00000026025	0.09799624939581508	0.0	2.5973177828107188e-08	0.0
ENSG00000121966	0.0972669358575819	0.0	2.5973177828107188e-08	0.0
ENSG00000213853	0.09678472091564824	0.0	2.5973177828107188e-08	0.0
ENSG00000065054	0.09573966943521829	0.0	2.5973177828107188e-08	0.0
ENSG00000120738	0.09400235281072991	0.0	2.5973177828107188e-08	0.0
ENSG00000125968	0.09324561663559545	0.0	2.5973177828107188e-08	0.0
ENSG00000102879	0.09306875014432275	0.0	2.5973177828107188e-08	0.0
ENSG00000170323	0.09153345338114648	0.0	2.5973177828107188e-08	0.0
ENSG00000150938	0.09128726620678261	0.0	2.5973177828107188e-08	0.0
ENSG00000101439	0.09105360247186164	0.0	2.5973177828107188e-08	0.0
ENSG00000115165	0.09095842120614644	0.0	2.5973177828107188e-08	0.0
ENSG00000148180	0.09040620884337187	0.0	2.5973177828107188e-08	0.0
ENSG00000160789	0.08953828579921128	0.0	2.5973177828107188e-08	0.0
ENSG00000178878	0.0893881779880223	0.0	2.5973177828107188e-08	0.0
ENSG00000178980	0.08926033606687626	0.0	2.5973177828107188e-08	0.0
ENSG00000122786	0.08915525686720484	0.0	2.5973177828107188e-08	0.0
ENSG00000104067	0.08889041666458686	0.0	2.5973177828107188e-08	0.0
ENSG00000010278	0.08858635591070384	0.0	2.5973177828107188e-08	0.0
ENSG00000110799	0.08844842468007415	0.0	2.5973177828107188e-08	0.0
ENSG00000141753	0.0884282627494293	0.0	2.5973177828107188e-08	0.0
ENSG00000117519	0.08796987035829697	0.0	2.5973177828107188e-08	0.0
ENSG00000130402	0.08791499990942386	0.0	2.5973177828107188e-08	0.0
ENSG00000148175	0.08775000162632265	0.0	2.5973177828107188e-08	0.0
ENSG00000140416	0.0877118322014286	0.0	2.5973177828107188e-08	0.0
ENSG00000084070	0.08727407879508364	0.0	2.5973177828107188e-08	0.0
ENSG00000106211	0.08677261903256743	0.0	2.5973177828107188e-08	0.0
ENSG00000172889	0.08668999754879209	0.0	2.5973177828107188e-08	0.0
ENSG00000131981	0.08546502293183969	0.0	2.5973177828107188e-08	0.0
ENSG00000178726	0.08523712135289009	0.0	2.5973177828107188e-08	0.0
ENSG00000125868	0.0852284077523621	0.0	2.5973177828107188e-08	0.0
ENSG00000104894	0.08426307525854596	0.0	2.5973177828107188e-08	0.0
ENSG00000147526	0.083958646107864	0.0	2.5973177828107188e-08	0.0
ENSG00000203883	0.08325998109465584	0.0	2.5973177828107188e-08	0.0
ENSG00000125148	0.0828031023832557	0.0	2.5973177828107188e-08	0.0
ENSG00000117091	0.08243589113691058	0.0	2.5973177828107188e-08	0.0
ENSG00000108107	0.0820143711487019	0.0	2.5973177828107188e-08	0.0
ENSG00000101335	0.08128856885193395	0.0	2.5973177828107188e-08	0.0
ENSG00000092841	0.08090749797420399	0.0	2.5973177828107188e-08	0.0
ENSG00000167641	0.08038563853596696	0.0	2.5973177828107188e-08	0.0
ENSG00000184113	0.08015547335318778	0.0	2.5973177828107188e-08	0.0
ENSG00000162772	0.07978957498301985	0.0	2.5973177828107188e-08	0.0
ENSG00000261371	0.07923024833837355	0.0	2.5973177828107188e-08	0.0
ENSG00000157514	0.07766719617026682	0.0	2.5973177828107188e-08	0.0
ENSG00000137507	0.07728764986856818	0.0	2.5973177828107188e-08	0.0
ENSG00000197956	0.07725429361468777	0.0	2.5973177828107188e-08	0.0
