source	target	count
intestinal enteroendocrine cell	large intestine goblet cell	143
intestinal enteroendocrine cell	mast cell	24
intestinal enteroendocrine cell	monocyte	114
intestinal enteroendocrine cell	neutrophil	32
intestinal enteroendocrine cell	paneth cell of colon	81
intestinal enteroendocrine cell	plasma cell	36
intestinal enteroendocrine cell	transit amplifying cell of colon	83
intestinal tuft cell	B cell	41
intestinal tuft cell	CD4-positive, alpha-beta T cell	78
intestinal tuft cell	CD8-positive, alpha-beta T cell	82
intestinal tuft cell	enterocyte of epithelium of large intestine	173
intestinal tuft cell	fibroblast	132
intestinal tuft cell	gut endothelial cell	61
intestinal tuft cell	intestinal crypt stem cell of large intestine	96
intestinal tuft cell	intestinal enteroendocrine cell	63
intestinal tuft cell	large intestine goblet cell	130
intestinal tuft cell	mast cell	25
intestinal tuft cell	monocyte	107
intestinal tuft cell	neutrophil	27
intestinal tuft cell	paneth cell of colon	81
intestinal tuft cell	plasma cell	35
intestinal tuft cell	transit amplifying cell of colon	87
large intestine goblet cell	B cell	75
large intestine goblet cell	CD4-positive, alpha-beta T cell	174
large intestine goblet cell	CD8-positive, alpha-beta T cell	182
large intestine goblet cell	enterocyte of epithelium of large intestine	412
large intestine goblet cell	fibroblast	316
large intestine goblet cell	gut endothelial cell	134
large intestine goblet cell	intestinal crypt stem cell of large intestine	200
large intestine goblet cell	intestinal enteroendocrine cell	135
large intestine goblet cell	intestinal tuft cell	127
large intestine goblet cell	mast cell	48
large intestine goblet cell	monocyte	242
large intestine goblet cell	neutrophil	57
large intestine goblet cell	paneth cell of colon	159
large intestine goblet cell	plasma cell	71
large intestine goblet cell	transit amplifying cell of colon	174
mast cell	B cell	12
mast cell	CD4-positive, alpha-beta T cell	28
mast cell	CD8-positive, alpha-beta T cell	30
mast cell	enterocyte of epithelium of large intestine	61
mast cell	fibroblast	47
mast cell	gut endothelial cell	23
mast cell	intestinal crypt stem cell of large intestine	30
mast cell	intestinal enteroendocrine cell	20
mast cell	intestinal tuft cell	20
mast cell	large intestine goblet cell	46
mast cell	monocyte	33
mast cell	neutrophil	14
mast cell	paneth cell of colon	31
mast cell	plasma cell	17
mast cell	transit amplifying cell of colon	30
monocyte	B cell	53
monocyte	CD4-positive, alpha-beta T cell	142
monocyte	CD8-positive, alpha-beta T cell	135
monocyte	enterocyte of epithelium of large intestine	321
monocyte	fibroblast	258
monocyte	gut endothelial cell	115
monocyte	intestinal crypt stem cell of large intestine	170
monocyte	intestinal enteroendocrine cell	111
monocyte	intestinal tuft cell	107
monocyte	large intestine goblet cell	240
monocyte	mast cell	34
