Region	memory B cell	CD8-positive, alpha-beta memory T cell	naive thymus-derived CD4-positive, alpha-beta T cell	mature NK T cell	classical monocyte	CD4-positive, alpha-beta memory T cell	regulatory T cell	neutrophil	macrophage	plasma cell	type I NK T cell	plasmacytoid dendritic cell	CD1c-positive myeloid dendritic cell	naive thymus-derived CD8-positive, alpha-beta T cell	erythrocyte	endothelial cell	hematopoietic stem cell	innate lymphoid cell	naive B cell	platelet	intermediate monocyte
HBM626.KXRZ.238_reg1	6123	10443	1960	5240	4793	4166	718	2741	1266	9026	808	410	292	242	642	1097	221	236	74	61	23
HBM898.LWCS.878_reg1	9046	31698	5529	10098	7385	14098	1667	6392	2205	13353	2204	761	559	674	1405	1788	400	518	118	97	24
HBM967.TGDD.996_reg001	12747	34959	7822	11052	10994	18079	2015	7489	3007	15448	2751	926	603	756	1802	1460	489	768	197	50	41
HBM455.PWQW.883_reg001	10556	33743	8551	13590	9887	16777	2276	5718	3128	17091	3075	1034	748	622	2465	1985	783	724	141	136	43
HBM825.KFFT.669_reg1	9308	18375	3476	7778	10957	8266	1372	7051	3238	19047	1663	1057	752	357	2081	1532	780	283	117	118	74
HBM542.THBC.733_reg1	7004	16099	3013	9957	6934	6932	745	4969	2203	10670	1396	498	393	431	978	1626	379	381	102	79	58
HBM396.BXSQ.568_reg1	13713	18279	4735	11551	7626	8321	1499	6084	2199	20766	1645	820	742	497	1408	1815	413	429	217	110	59
HBM783.JZRN.564_reg001	13793	15797	3848	13789	10094	6061	1587	8096	2923	24141	1582	1049	793	430	1824	1856	631	383	208	130	80
HBM279.RTXC.523_reg1	7455	7357	1534	7655	5419	2631	933	3731	1968	16977	988	812	582	181	1623	1006	602	216	140	101	43
HBM495.VWBD.428_reg1	16217	13013	6996	6999	7064	9575	1291	4110	1947	13576	1221	656	500	391	928	1874	332	973	222	75	28
HBM443.TZCQ.232_reg001	18197	13608	6225	9794	10105	8701	1481	6854	2788	19207	1477	806	689	414	1499	2232	380	833	240	104	29
HBM287.WDKX.539_reg001	14640	15412	5085	11075	11788	7753	1553	11924	3193	20949	1547	1138	758	475	1632	2594	441	511	245	137	35
HBM573.GQRD.788_reg1	11884	13970	4889	8661	12530	6970	1741	11252	3349	25842	1342	1358	947	416	1571	2473	428	553	256	144	52
HBM455.XDQS.993_reg001	11377	16129	6524	8503	9732	10518	1693	11555	2982	26661	1447	1124	876	461	1597	1926	398	767	207	117	60
HBM863.FDNH.844_reg1	13287	18200	8563	8315	7189	14124	1403	8004	2053	13943	1599	733	567	552	1111	1929	310	1099	185	78	23
HBM327.NMZP.779_reg001	19654	17757	6111	9840	10797	10270	1366	7695	3422	25817	1735	1242	964	546	1956	2364	521	705	251	117	42
HBM594.PWXG.764_reg001	13263	20759	9115	10224	15443	14205	2250	12636	4042	19607	1892	1037	696	545	1679	2490	422	900	175	114	61
HBM528.NMQV.274_reg1	19674	21720	5879	12226	12048	11373	1215	11501	3560	15552	2040	878	679	553	1874	2559	394	527	213	126	29
HBM893.FNLL.223_reg1	7328	5435	1740	4496	6911	2690	432	5587	1829	6415	705	295	212	141	656	728	174	193	77	57	12
HBM946.WMTC.283_reg1	15549	14881	5562	10513	8048	7855	1596	6057	2442	16938	1882	645	561	344	1231	1670	423	665	169	120	41
HBM732.GQLB.743_reg1	23456	16954	8236	10022	7197	10670	1873	6190	2151	29075	1576	1159	984	472	1661	1912	366	643	360	109	40
HBM496.ZJFC.554_reg1	15035	14234	3908	7442	6770	6796	1308	6803	2017	30977	1335	1020	932	402	1646	1467	382	362	248	91	47
HBM339.LBCC.963_reg1	12777	38360	9354	14431	9459	19841	2634	10244	3017	20359	2585	962	673	768	2087	2939	538	784	185	132	46
HBM452.ZQFK.527_reg001	10447	27179	7021	10521	5166	14996	1780	5363	1554	8096	1889	734	407	505	1420	1208	313	974	166	72	22
