source	target	count
intestinal enteroendocrine cell	large intestine goblet cell	136
intestinal enteroendocrine cell	mast cell	10
intestinal enteroendocrine cell	monocyte	93
intestinal enteroendocrine cell	neutrophil	18
intestinal enteroendocrine cell	paneth cell of colon	78
intestinal enteroendocrine cell	plasma cell	26
intestinal enteroendocrine cell	transit amplifying cell of colon	67
intestinal tuft cell	B cell	50
intestinal tuft cell	CD4-positive, alpha-beta T cell	78
intestinal tuft cell	CD8-positive, alpha-beta T cell	80
intestinal tuft cell	enterocyte of epithelium of large intestine	146
intestinal tuft cell	fibroblast	124
intestinal tuft cell	gut endothelial cell	57
intestinal tuft cell	intestinal crypt stem cell of large intestine	84
intestinal tuft cell	intestinal enteroendocrine cell	60
intestinal tuft cell	large intestine goblet cell	125
intestinal tuft cell	mast cell	15
intestinal tuft cell	monocyte	100
intestinal tuft cell	neutrophil	11
intestinal tuft cell	paneth cell of colon	72
intestinal tuft cell	plasma cell	27
intestinal tuft cell	transit amplifying cell of colon	69
large intestine goblet cell	B cell	131
large intestine goblet cell	CD4-positive, alpha-beta T cell	205
large intestine goblet cell	CD8-positive, alpha-beta T cell	211
large intestine goblet cell	enterocyte of epithelium of large intestine	414
large intestine goblet cell	fibroblast	329
large intestine goblet cell	gut endothelial cell	142
large intestine goblet cell	intestinal crypt stem cell of large intestine	206
large intestine goblet cell	intestinal enteroendocrine cell	135
large intestine goblet cell	intestinal tuft cell	144
large intestine goblet cell	mast cell	30
large intestine goblet cell	monocyte	245
large intestine goblet cell	neutrophil	45
large intestine goblet cell	paneth cell of colon	186
large intestine goblet cell	plasma cell	67
large intestine goblet cell	transit amplifying cell of colon	166
mast cell	B cell	15
mast cell	CD4-positive, alpha-beta T cell	22
mast cell	CD8-positive, alpha-beta T cell	22
mast cell	enterocyte of epithelium of large intestine	44
mast cell	fibroblast	36
mast cell	gut endothelial cell	19
mast cell	intestinal crypt stem cell of large intestine	22
mast cell	intestinal enteroendocrine cell	16
mast cell	intestinal tuft cell	20
mast cell	large intestine goblet cell	36
mast cell	monocyte	24
mast cell	neutrophil	7
mast cell	paneth cell of colon	26
mast cell	plasma cell	9
mast cell	transit amplifying cell of colon	22
monocyte	B cell	98
monocyte	CD4-positive, alpha-beta T cell	150
monocyte	CD8-positive, alpha-beta T cell	145
monocyte	enterocyte of epithelium of large intestine	313
monocyte	fibroblast	257
monocyte	gut endothelial cell	106
monocyte	intestinal crypt stem cell of large intestine	153
monocyte	intestinal enteroendocrine cell	103
monocyte	intestinal tuft cell	122
monocyte	large intestine goblet cell	253
monocyte	mast cell	21
monocyte	neutrophil	34
monocyte	paneth cell of colon	130
monocyte	plasma cell	54
monocyte	transit amplifying cell of colon	120
neutrophil	B cell	11
neutrophil	CD4-positive, alpha-beta T cell	22
neutrophil	CD8-positive, alpha-beta T cell	23
neutrophil	enterocyte of epithelium of large intestine	39
neutrophil	fibroblast	27
neutrophil	gut endothelial cell	16
neutrophil	intestinal crypt stem cell of large intestine	19
neutrophil	intestinal enteroendocrine cell	12
neutrophil	intestinal tuft cell	11
neutrophil	large intestine goblet cell	36
neutrophil	mast cell	5
neutrophil	monocyte	12
neutrophil	paneth cell of colon	17
neutrophil	plasma cell	9
neutrophil	transit amplifying cell of colon	13
paneth cell of colon	B cell	93
paneth cell of colon	CD4-positive, alpha-beta T cell	135
paneth cell of colon	CD8-positive, alpha-beta T cell	139
paneth cell of colon	enterocyte of epithelium of large intestine	294
paneth cell of colon	fibroblast	237
paneth cell of colon	gut endothelial cell	90
paneth cell of colon	intestinal crypt stem cell of large intestine	145
paneth cell of colon	intestinal enteroendocrine cell	92
paneth cell of colon	intestinal tuft cell	103
paneth cell of colon	large intestine goblet cell	251
paneth cell of colon	mast cell	17
paneth cell of colon	monocyte	171
paneth cell of colon	neutrophil	31
paneth cell of colon	plasma cell	45
paneth cell of colon	transit amplifying cell of colon	108
plasma cell	B cell	53
plasma cell	CD4-positive, alpha-beta T cell	74
plasma cell	CD8-positive, alpha-beta T cell	74
plasma cell	enterocyte of epithelium of large intestine	138
plasma cell	fibroblast	106
plasma cell	gut endothelial cell	52
plasma cell	intestinal crypt stem cell of large intestine	70
plasma cell	intestinal enteroendocrine cell	39
plasma cell	intestinal tuft cell	44
plasma cell	large intestine goblet cell	102
