Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
ENSG00000182809	0.1474004364182538	0.0	2.7446350648392933e-08	0.0
ENSG00000105974	0.1458736695665526	0.0	2.7446350648392933e-08	0.0
ENSG00000175899	0.1428198354147895	0.0	2.7446350648392933e-08	0.0
ENSG00000142910	0.1400754310081476	0.0	2.7446350648392933e-08	0.0
ENSG00000142089	0.1389914364638638	0.0	2.7446350648392933e-08	0.0
ENSG00000116016	0.1308317064970486	0.0	2.7446350648392933e-08	0.0
ENSG00000060138	0.1307554834753128	0.0	2.7446350648392933e-08	0.0
ENSG00000100234	0.1296924383300204	0.0	2.7446350648392933e-08	0.0
ENSG00000130592	0.1284179830907521	0.0	2.7446350648392933e-08	0.0
ENSG00000148671	0.1219788486421709	0.0	2.7446350648392933e-08	0.0
ENSG00000051523	0.1201230461625251	0.0	2.7446350648392933e-08	0.0
ENSG00000169908	0.1200096231471597	0.0	2.7446350648392933e-08	0.0
ENSG00000172183	0.1199639597665105	0.0	2.7446350648392933e-08	0.0
ENSG00000142192	0.1189656285521893	0.0	2.7446350648392933e-08	0.0
ENSG00000149564	0.1188623885968514	0.0	2.7446350648392933e-08	0.0
ENSG00000026025	0.1180482886730666	0.0	2.7446350648392933e-08	0.0
ENSG00000124762	0.1166594783269848	0.0	2.7446350648392933e-08	0.0
ENSG00000177469	0.1154774315616961	0.0	2.7446350648392933e-08	0.0
ENSG00000067113	0.1139455228510127	0.0	2.7446350648392933e-08	0.0
ENSG00000159335	0.1127290425062853	0.0	2.7446350648392933e-08	0.0
ENSG00000154734	0.1125850286050161	0.0	2.7446350648392933e-08	0.0
ENSG00000187244	0.1119050130345417	0.0	2.7446350648392933e-08	0.0
ENSG00000128340	0.1102001395769169	0.0	2.7446350648392933e-08	0.0
ENSG00000163453	0.1100137949221878	0.0	2.7446350648392933e-08	0.0
ENSG00000152583	0.1091446104303779	0.0	2.7446350648392933e-08	0.0
ENSG00000105971	0.1083732460107221	0.0	2.7446350648392933e-08	0.0
ENSG00000221869	0.1027953046381192	0.0	2.7446350648392933e-08	0.0
ENSG00000100243	0.1026146314116963	0.0	2.7446350648392933e-08	0.0
ENSG00000148180	0.1004162477897448	0.0	2.7446350648392933e-08	0.0
ENSG00000177697	0.1000674765461815	0.0	2.7446350648392933e-08	0.0
ENSG00000148175	0.0995257170479879	0.0	2.7446350648392933e-08	0.0
ENSG00000101439	0.0984759456485313	0.0	2.7446350648392933e-08	0.0
ENSG00000115165	0.0977176903688741	0.0	2.7446350648392933e-08	0.0
ENSG00000125968	0.0972974609787399	0.0	2.7446350648392933e-08	0.0
ENSG00000102879	0.0972772681920412	0.0	2.7446350648392933e-08	0.0
ENSG00000065054	0.0971455895701909	0.0	2.7446350648392933e-08	0.0
ENSG00000178980	0.0970909929359155	0.0	2.7446350648392933e-08	0.0
ENSG00000106211	0.0960904677184084	0.0	2.7446350648392933e-08	0.0
ENSG00000213853	0.0955868426544383	0.0	2.7446350648392933e-08	0.0
ENSG00000170323	0.0953726391049929	0.0	2.7446350648392933e-08	0.0
ENSG00000121966	0.0942358424322507	0.0	2.7446350648392933e-08	0.0
ENSG00000120738	0.0937422119282212	0.0	2.7446350648392933e-08	0.0
ENSG00000110799	0.0931692128257251	0.0	2.7446350648392933e-08	0.0
ENSG00000178878	0.0926275257565883	0.0	2.7446350648392933e-08	0.0
ENSG00000141753	0.0925628388859719	0.0	2.7446350648392933e-08	0.0
ENSG00000084070	0.0912805896915271	0.0	2.7446350648392933e-08	0.0
ENSG00000160789	0.0911774197429757	0.0	2.7446350648392933e-08	0.0
ENSG00000150938	0.0911076248189658	0.0	2.7446350648392933e-08	0.0
ENSG00000104067	0.0904725025274772	0.0	2.7446350648392933e-08	0.0
ENSG00000117519	0.0901748172500704	0.0	2.7446350648392933e-08	0.0
ENSG00000172889	0.0898394922413106	0.0	2.7446350648392933e-08	0.0
ENSG00000131981	0.0896402396617664	0.0	2.7446350648392933e-08	0.0
ENSG00000010278	0.0894295941522634	0.0	2.7446350648392933e-08	0.0
ENSG00000122786	0.0877111137959478	0.0	2.7446350648392933e-08	0.0
ENSG00000178726	0.0865417622770893	0.0	2.7446350648392933e-08	0.0
ENSG00000261371	0.0862351890657285	0.0	2.7446350648392933e-08	0.0
ENSG00000147526	0.0859198044925354	0.0	2.7446350648392933e-08	0.0
ENSG00000125148	0.0857868478174647	0.0	2.7446350648392933e-08	0.0
ENSG00000197956	0.0856794129162224	0.0	2.7446350648392933e-08	0.0
ENSG00000203883	0.0855535565913474	0.0	2.7446350648392933e-08	0.0
ENSG00000140416	0.0855056300278404	0.0	2.7446350648392933e-08	0.0
ENSG00000184113	0.0853878823494607	0.0	2.7446350648392933e-08	0.0
ENSG00000185201	0.0845437690168098	0.0	2.7446350648392933e-08	0.0
ENSG00000125868	0.0844410017347878	0.0	2.7446350648392933e-08	0.0
ENSG00000130402	0.0839221464600302	0.0	2.7446350648392933e-08	0.0
ENSG00000183508	0.0822559147496715	0.0	2.7446350648392933e-08	0.0
ENSG00000139193	0.0820298741949075	0.0	2.7446350648392933e-08	0.0
ENSG00000143119	0.0818803870770654	0.0	2.7446350648392933e-08	0.0
ENSG00000127920	0.0816116899929311	0.0	2.7446350648392933e-08	0.0
ENSG00000110651	0.0805164297370969	0.0	2.7446350648392933e-08	0.0
ENSG00000137507	0.0800965860849739	0.0	2.7446350648392933e-08	0.0
ENSG00000143198	0.0799060496275874	0.0	2.7446350648392933e-08	0.0
ENSG00000168497	0.0799038226081152	0.0	2.7446350648392933e-08	0.0
ENSG00000107281	0.0796565225736267	0.0	2.7446350648392933e-08	0.0
ENSG00000184557	0.0794051640055988	0.0	2.7446350648392933e-08	0.0
ENSG00000092841	0.0792267681221814	0.0	2.7446350648392933e-08	0.0
ENSG00000072163	0.0790163332165618	0.0	2.7446350648392933e-08	0.0
ENSG00000106991	0.0789953010457332	0.0	2.7446350648392933e-08	0.0
ENSG00000101335	0.0777737170243439	0.0	2.7446350648392933e-08	0.0
ENSG00000182718	0.0775018917975352	0.0	2.7446350648392933e-08	0.0
ENSG00000167641	0.0773676900084903	0.0	2.7446350648392933e-08	0.0
ENSG00000137962	0.0773346684374721	0.0	2.7446350648392933e-08	0.0
ENSG00000085063	0.0771216848032614	0.0	2.7446350648392933e-08	0.0
ENSG00000128016	0.0763422280745299	0.0	2.7446350648392933e-08	0.0
ENSG00000142798	0.0761217618726151	0.0	2.7446350648392933e-08	0.0
ENSG00000107438	0.0759624326473564	0.0	2.7446350648392933e-08	0.0
ENSG00000024422	0.0754297616667187	0.0	2.7446350648392933e-08	0.0
ENSG00000162772	0.0752573632416699	0.0	2.7446350648392933e-08	0.0
ENSG00000117091	0.0749675904545383	0.0	2.7446350648392933e-08	0.0
ENSG00000150093	0.0749569833204122	0.0	2.7446350648392933e-08	0.0
ENSG00000165949	0.0748122710268253	0.0	2.7446350648392933e-08	0.0
ENSG00000157514	0.0745697564127351	0.0	2.7446350648392933e-08	0.0
ENSG00000179776	0.0743657567318333	0.0	2.7446350648392933e-08	0.0
ENSG00000124942	0.0737730818132493	0.0	2.7446350648392933e-08	0.0
ENSG00000111077	0.0736637137440919	0.0	2.7446350648392933e-08	0.0
ENSG00000104894	0.0734281101879972	0.0	2.7446350648392933e-08	0.0
ENSG00000134285	0.0731196983707792	0.0	2.7446350648392933e-08	0.0
ENSG00000099860	0.0727911357448555	0.0	2.7446350648392933e-08	0.0
ENSG00000187513	0.0725623381614899	0.0	2.7446350648392933e-08	0.0
ENSG00000129538	0.0722005684305993	0.0	2.7446350648392933e-08	0.0
ENSG00000108107	0.0717020104043026	0.0	2.7446350648392933e-08	0.0
ENSG00000081237	0.0714826569381383	0.0	2.7446350648392933e-08	0.0
ENSG00000131477	0.0713101826029054	0.0	2.7446350648392933e-08	0.0
ENSG00000057657	0.0712840856927875	0.0	2.7446350648392933e-08	0.0
ENSG00000157557	0.0712716931039905	0.0	2.7446350648392933e-08	0.0
ENSG00000072818	0.0711787982494742	0.0	2.7446350648392933e-08	0.0
ENSG00000126458	0.0710720221474363	0.0	2.7446350648392933e-08	0.0
ENSG00000123358	0.0708614962387516	0.0	2.7446350648392933e-08	0.0
ENSG00000044115	0.0708201416323361	0.0	2.7446350648392933e-08	0.0
ENSG00000176435	0.0705818901871988	0.0	2.7446350648392933e-08	0.0
ENSG00000185551	0.0702106582023419	0.0	2.7446350648392933e-08	0.0
ENSG00000102096	0.0701952319927119	0.0	2.7446350648392933e-08	0.0
ENSG00000157110	0.0700295268205454	0.0	2.7446350648392933e-08	0.0
ENSG00000149591	0.0694266724206566	0.0	2.7446350648392933e-08	0.0
ENSG00000125266	0.0694132202184606	0.0	2.7446350648392933e-08	0.0
ENSG00000073712	0.0692208531581975	0.0	2.7446350648392933e-08	0.0
ENSG00000143537	0.0690274797641325	0.0	2.7446350648392933e-08	0.0
ENSG00000132688	0.0686060592231855	0.0	2.7446350648392933e-08	0.0
ENSG00000135404	0.0685151940608081	0.0	2.7446350648392933e-08	0.0
ENSG00000187479	0.0684958388823293	0.0	2.7446350648392933e-08	0.0
ENSG00000198959	0.0683629670707734	0.0	2.7446350648392933e-08	0.0
ENSG00000117318	0.0683215494325327	0.0	2.7446350648392933e-08	0.0
ENSG00000169442	0.0683192187542231	0.0	2.7446350648392933e-08	0.0
ENSG00000167460	0.0676479536718656	0.0	2.7446350648392933e-08	0.0
ENSG00000072110	0.0676004658720523	0.0	2.7446350648392933e-08	0.0
ENSG00000081320	0.0672672723520974	0.0	2.7446350648392933e-08	0.0
ENSG00000170476	0.0670884867181867	0.0	2.7446350648392933e-08	0.0
ENSG00000068001	0.066870057322183	0.0	2.7446350648392933e-08	0.0
ENSG00000128567	0.0665429670656564	0.0	2.7446350648392933e-08	0.0
ENSG00000197019	0.0665201497754476	0.0	2.7446350648392933e-08	0.0
ENSG00000173482	0.0663775769686575	0.0	2.7446350648392933e-08	0.0
ENSG00000074416	0.0663652829690922	0.0	2.7446350648392933e-08	0.0
ENSG00000163815	0.0661508447393559	0.0	2.7446350648392933e-08	0.0
ENSG00000102804	0.0660355627736375	0.0	2.7446350648392933e-08	0.0
ENSG00000167470	0.0658537434699437	0.0	2.7446350648392933e-08	0.0
ENSG00000143878	0.0657333711648723	0.0	2.7446350648392933e-08	0.0
ENSG00000076662	0.065602190164825	0.0	2.7446350648392933e-08	0.0
ENSG00000125810	0.0654011199991898	0.0	2.7446350648392933e-08	0.0
