Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
ENSG00000177954	0.3997079172883869	0.0	3.2744810775318994e-08	0.0
ENSG00000198918	0.3909792174666315	0.0	3.2744810775318994e-08	0.0
ENSG00000109475	0.3849682666869012	0.0	3.2744810775318994e-08	0.0
ENSG00000234741	0.365432184369293	0.0	3.2744810775318994e-08	0.0
ENSG00000156508	0.364051112298737	0.0	3.2744810775318994e-08	0.0
ENSG00000112306	0.362323526184749	0.0	3.2744810775318994e-08	0.0
ENSG00000156482	0.3594922132854171	0.0	3.2744810775318994e-08	0.0
ENSG00000105373	0.357360873248837	0.0	3.2744810775318994e-08	0.0
ENSG00000145425	0.3539346828040109	0.0	3.2744810775318994e-08	0.0
ENSG00000145592	0.3535941508356344	0.0	3.2744810775318994e-08	0.0
ENSG00000163682	0.3513297470562588	0.0	3.2744810775318994e-08	0.0
ENSG00000144713	0.3472298441158371	0.0	3.2744810775318994e-08	0.0
ENSG00000142541	0.3439246284771018	0.0	3.2744810775318994e-08	0.0
ENSG00000167526	0.3403052356225765	0.0	3.2744810775318994e-08	0.0
ENSG00000133639	0.3347439994638562	0.0	3.2744810775318994e-08	0.0
ENSG00000164587	0.3347360510434745	0.0	3.2744810775318994e-08	0.0
ENSG00000239264	0.3305397987486804	0.0	3.2744810775318994e-08	0.0
ENSG00000170476	0.3290208753486156	0.0	3.2744810775318994e-08	0.0
ENSG00000186468	0.324995379419095	0.0	3.2744810775318994e-08	0.0
ENSG00000104894	0.3244262064563314	0.0	3.2744810775318994e-08	0.0
ENSG00000118181	0.3197593279608775	0.0	3.2744810775318994e-08	0.0
ENSG00000161970	0.3191359217543652	0.0	3.2744810775318994e-08	0.0
ENSG00000142676	0.3186948523496544	0.0	3.2744810775318994e-08	0.0
ENSG00000265972	0.3170125556063875	0.0	3.2744810775318994e-08	0.0
ENSG00000133112	0.3166058805949033	0.0	3.2744810775318994e-08	0.0
ENSG00000177410	0.3120818426054317	0.0	3.2744810775318994e-08	0.0
ENSG00000122026	0.3113729900820825	0.0	3.2744810775318994e-08	0.0
ENSG00000123349	0.3105885869231508	0.0	3.2744810775318994e-08	0.0
ENSG00000169442	0.3101668397923379	0.0	3.2744810775318994e-08	0.0
ENSG00000172809	0.3088262759554643	0.0	3.2744810775318994e-08	0.0
ENSG00000143947	0.3065257782401041	0.0	3.2744810775318994e-08	0.0
ENSG00000182899	0.3037763416952583	0.0	3.2744810775318994e-08	0.0
ENSG00000213741	0.299866134399181	0.0	3.2744810775318994e-08	0.0
ENSG00000196683	0.2995650070945749	0.0	3.2744810775318994e-08	0.0
ENSG00000100219	0.2972715282063644	0.0	3.2744810775318994e-08	0.0
ENSG00000168685	0.2953473032213923	0.0	3.2744810775318994e-08	0.0
ENSG00000008988	0.2949948774264005	0.0	3.2744810775318994e-08	0.0
ENSG00000197958	0.2923608750171035	0.0	3.2744810775318994e-08	0.0
ENSG00000166598	0.290205400978962	0.0	3.2744810775318994e-08	0.0
ENSG00000134419	0.2889066262226341	0.0	3.2744810775318994e-08	0.0
ENSG00000147403	0.2833784140365463	0.0	3.2744810775318994e-08	0.0
ENSG00000100316	0.2819583700740733	0.0	3.2744810775318994e-08	0.0
ENSG00000204287	0.2787387954707606	0.0	3.2744810775318994e-08	0.0
ENSG00000166794	0.2785551793317775	0.0	3.2744810775318994e-08	0.0
ENSG00000130255	0.2783670688945396	0.0	3.2744810775318994e-08	0.0
