Region	11	12	1	15	10	13	5	17	8	0	2	18	3	16	4	6	7	9	14	19
HBM629.DBKM.347_reg001	1834.0	2517.0	2375.0	1795.0	2322.0	2032.0	1719.0	1890.0	20.0	1917.0	1579.0	1947.0	2428.0	1474.0	2113.0	2028.0	1942.0	196.0	2092.0	1.0
HBM244.TVNH.734_reg001	2374.0	1878.0	2607.0	1201.0	1312.0	2613.0	3300.0	3734.0	21780.0	1317.0	4261.0	2067.0	2432.0	3722.0	1933.0	2283.0	2091.0	2168.0	2076.0	107.0
HBM995.WMDN.689_reg001	1347.0	1712.0	1570.0	1149.0	1441.0	1396.0	1335.0	1130.0	57.0	1644.0	1011.0	1840.0	1683.0	1329.0	1029.0	1876.0	1098.0	91.0	1368.0	
HBM658.WGPT.978_reg001	1473.0	1899.0	1868.0	448.0	742.0	926.0	1646.0	1958.0	160.0	1466.0	1850.0	769.0	1093.0	2388.0	1746.0	1849.0	918.0	15347.0	1918.0	11038.0
HBM784.TKZX.992_reg001	715.0	1142.0	1083.0	671.0	706.0	979.0	1057.0	954.0	159.0	894.0	1272.0	991.0	1158.0	711.0	723.0	867.0	767.0	347.0	847.0	4.0
HBM523.XHWW.384_reg001	891.0	1759.0	1087.0	749.0	884.0	944.0	1078.0	1334.0	44.0	666.0	845.0	912.0	1282.0	836.0	1162.0	862.0	1379.0	1486.0	2594.0	711.0
HBM959.BVWN.344_reg001	973.0	1747.0	1440.0	1583.0	2017.0	1341.0	1402.0	987.0	122.0	1861.0	1017.0	1723.0	1668.0	810.0	1078.0	1443.0	1064.0	147.0	1152.0	
HBM334.RPTP.997_reg001	1695.0	2144.0	1696.0	1490.0	1566.0	1642.0	1524.0	1755.0	87.0	1563.0	1354.0	1508.0	1561.0	1725.0	1618.0	1989.0	1469.0	372.0	1688.0	3.0
HBM433.ZLWP.627_reg001	997.0	1307.0	1294.0	828.0	1128.0	924.0	1414.0	1248.0	831.0	1185.0	1526.0	947.0	1407.0	818.0	792.0	1069.0	740.0	499.0	999.0	16.0
