Cluster	ICC	TA2	TA1	CyclingTA 1	Myofibroblasts/SM 1	Villus Fibroblasts WNT5B+	Goblet	Enteroendocrine	Epithelial	Immature Enterocytes	Enterocytes	Crypt Fibroblasts 3 RSPO3+	Myofibroblasts/SM DES High	Mono_Macrophages	Immature Goblet	Myofibroblasts/SM 2	CD8	Glia	Endothelial-Venules	CyclingTA 2	Pericytes	Stem	B Cells	Crypt Fibroblasts 2	DC	Crypt Fibroblasts 1 WNT2B+	Paneth	Secretory Specialized MUC6+	Best4+ Enterocytes	Endothelial-CD36+ Microvascular	Neurons	CD4	Myofibroblasts/SM 3	Mast	Adipocytes	Plasma	NEUROG3high	EnteroendocrineUn	Lymphatic Endothelial Cells	Tuft	Unknown	ILC	Enterochromaffin	NK	T Cells	EnteroendocrineUn 1	CyclingImmune	I Cells	D Cells	L Cells	Mo Cells	S Cells	K Cells
Cluster_0	-0.36209399046666924	-1.3459928402873402	-0.2911938752064263	-0.2736326264797485	-0.6613530483046425	-0.4100848422442369	-0.21051681898424213	-0.3133450015796838	-0.0019077152277823363	1.2487387554607092	-1.1825835704115593	-0.3471613685604318	-0.4604351878956654	-0.8162336433419897	-0.378386360120331	-0.18440938861559225	-0.6373266912779711	-0.3996032919144744	-0.7875144224574813	-0.4539905226098172	-0.5399032130728042	-0.24273189564633135	-0.2889716994537741	-0.33335873522012777	-0.8186313019684566	-0.12361972411472427	-0.2039554389351679	-0.8275735715130829	-0.43789589426475206	-0.5380592111993194	-0.04398587465800591	-0.23506546669750855	-0.35800277333669006	-0.3076966624834992	-0.2666722150898634	-0.027564269458821497	-0.7427050081199825	-0.5346789346688022	-0.8157550874574881	-0.1330818268539916	-1.5864976190039528	0.07446189048186828	-0.12405371518937396	-0.1321406436698589	0.21958845993132384	-0.18022592090485393	-0.257456190489823	-0.33470086866082044	0.38881711740480335	-0.3514058665850901	-0.31546942950801704	-0.3355843907156259	-0.19272519711461952
Cluster_1	-0.2148346059209322	-0.31619408917821706	-0.3764885304615161	-0.1721675823528549	-0.4757061710517085	-0.2673845277894791	-0.08547688412077441	-0.13075771123604932	-0.13833669380049282	-0.1787767854311806	-0.3361961040981311	-0.01537133483916361	-0.01047513120252623	-0.87564580007526	1.9711696261570517	0.022687684553930793	-0.757051011413702	-0.1133487212141125	-0.7224271325492018	-0.005719332938776017	-0.1697839494135386	-0.16628237729519024	-0.2748204600230882	-0.1384543727093946	-0.3770842221944464	-0.2923346131416543	-0.13409751184750449	0.02660565330669775	-0.17765583597556875	-0.321705794507144	-0.046197537586958014	-0.1721975783312697	-0.12268789474642036	-0.2914849217872444	-0.23091210834877707	-0.21379614237440053	-0.893907135964954	-0.022081706149716523	-0.884675419218913	-0.2431401395182295	0.08570290608864571	-0.14655474374048474	-0.25977409268766466	-0.22954037621677303	-0.2730834964117386	-0.09413981353516335	-0.2061402608708019	-0.34515495374768873	-0.3349877131048241	0.040242812067373866	-0.3040353608938342	-0.18285358458662954	-0.2670533437398573
Cluster_2	0.3863822848535758	-0.4216850448991324	-0.4608222596495265	0.37476344791408517	-1.0357740709014644	0.5759362558433574	0.3115838976753738	0.334062814986205	0.6222085083646067	-0.730662494960826	-0.6079409344602311	0.44218662544994664	1.5477881674629348	-0.4538777866874496	-0.33044076321604304	0.24361499078569754	-0.15823716293133575	0.29972610005334066	0.2975854248369088	0.44754927761649665	0.37521078455258194	0.42890508071350864	0.4199962910970332	0.3542451997217387	0.5004094001247972	1.7161686178985718	0.26290956342668786	0.08235060935823356	0.4337093219248002	0.6481237181611497	0.349472397719285	0.37917665876045675	0.4019545521550864	0.32153806377022	0.44832260016210745	0.25471425340831294	-0.03198242680039176	0.26008288597673457	-0.2267633605244227	0.5070275017086281	-0.011099379850739239	0.5545278405809194	0.5683492833660277	0.2733071825923784	0.876967684367743	0.4403677448684744	0.35043706438314126	0.7655074968278072	0.6350672279662436	0.4159710590940654	0.7029804336309644	0.7857002592294184	1.210958738424584
Cluster_3	0.19084953206087407	-0.4952409059234926	-1.676941093636823	0.3075871920831944	0.3306721782956529	0.3035321499672116	0.478087746726392	0.2933263076103085	0.7696987322844715	-0.12953039211106834	0.6761420184273612	0.2600392671291119	-0.2095738021854115	-0.6933586887212416	-0.49810341674897207	0.4267970145414026	-0.16806175833137751	0.21019395119599008	-0.25101684526017054	0.25147697364811394	0.33594326598760677	0.4123310160489415	0.6076454353002732	0.3601139733055787	0.052009926012507444	-0.09125330631200529	0.3406015521442998	-0.34675657419345146	0.1652986347839074	0.01585863106627629	0.5435992078627401	0.4568932346922545	0.3045016832041397	0.29993637108259313	0.5083377171407466	0.3708118798214429	0.466862244048712	0.33542694625885094	-0.6657269356030492	0.17887667599574045	0.057705422462668084	-0.029042914291044282	0.3848753858671331	0.4342804824325503	0.4198002712792091	0.5180586897136581	0.34773567551883416	0.34474240403429096	0.5359766840362907	0.14044134845747402	0.41494738024814615	0.5041967026441356	0.4826400685463508
Cluster_4	-0.2932306900283999	-0.45062330873279327	-0.456179396806959	-0.24505889549178586	1.7408723222489706	-0.24335240334222796	-0.19978252550071296	0.09274512468639566	-0.42905031887900197	-0.07514174314188196	-0.47751416453882783	-0.2068087533521305	-0.022829297527756167	-0.8971310970497934	-0.36679378416006914	-0.013284760244807485	-0.9158587667813726	-0.11520376291635535	-0.8071808138999925	-0.08008248091032719	-0.23580732012947997	-0.31751503804905085	-0.38410896373559344	-0.03651118473345251	-0.21283696712378514	-0.5217678648804586	-0.24453969616623608	-0.6594921293746394	-0.4278680341833057	-0.5680694248423384	-0.2834932517570309	-0.39615442445773147	-0.05139538858260939	-0.20758396521177247	-0.03356951793513042	-0.3606646643189818	-0.7331434528992876	-0.10169728131704803	-0.8500352393652484	-0.21122791555028864	-0.2961887960846356	-0.39058790562473544	-0.5487850605036153	-0.2931390291089131	-0.6765795847339757	0.12989362101756513	-0.446598481449915	-0.7280974075376192	-0.4051199225519617	-0.19998029848920731	-0.4541869980952086	-0.4330154005610306	-1.2443462479135832
Cluster_5	0.33670973662485953	-1.336007338824252	-0.9459467635948383	0.31518237911281893	-0.03965226369125422	0.6151584199705263	0.47311120805291385	0.26177800290364933	0.4074656428431296	0.39405586657857805	-1.793712086197853	0.29747112707765616	-0.06219012178061763	-0.4004149183496907	-0.23740633600420633	0.31360665440812885	0.07088798125234444	0.3140839464370801	0.3238966969795817	0.3782386155410153	0.23769493622117138	0.39026756318428935	0.4044339246276209	0.23003274985364422	0.5018995895361693	0.5781653408701757	0.2032294616899745	-0.15747293463499198	1.3151038465162848	0.6414030236186326	0.5340625482610789	0.4680228946207201	0.4685392291552234	0.32694424995330884	0.3283420286165432	0.4458925109672712	-0.316933830304549	0.32262977384610003	-0.3136452163411059	0.3633085035468917	-0.16710803335064991	0.34538710337938183	0.5738220359389816	0.4704069779117286	0.687794957885416	0.35373276453984154	0.23937789242641255	0.48573132361131466	0.48421365077488454	0.49230065455431926	0.39161706505046107	0.5664679881958852	0.6866248028305064
Cluster_6	-0.25059737828503137	-0.2951703990806807	1.2773920682113427	-0.3951509831538169	-1.0087469782961231	-0.3211737426689202	-0.24176006301251424	-0.13950798618799057	-0.28445655217635735	0.44294263153665214	-0.7733439339228692	-0.23181645335883308	-0.20524436624783646	-0.8101486807398337	-0.4639457316111821	-0.20391407641279158	-0.709268899897466	-0.22563016989080076	-0.6255472517696312	-0.20669147407456248	-0.17281734964581086	-0.28996610287701585	-0.31617497723011084	-0.2517410889356057	-0.3495606083488568	-0.43704061941715305	-0.3926230989208583	-0.4165342486459511	-0.2762527441404593	-0.5150446859157436	-0.22027159865560336	-0.2685029199692313	-0.2250988982222475	-0.2873571209989906	-0.2921224341357877	-0.30188878950982456	-0.12379223017296039	-0.20392701472357797	-0.8372354360898635	-0.09825706793808846	0.1400774571594136	-0.24323744068846728	-0.4244811628186569	-0.2872272661317394	0.010259304728359134	-0.4369074954500863	-0.27303189853151005	-0.43149235283364784	-0.5323595367201075	-0.7494728939705204	-0.21696153901796597	-0.32436881463597983	-0.5723961035471445
Cluster_7	-0.04785543427145537	1.3322327255436153	-0.22398972256423827	0.08825681772419963	-0.7631542920258247	0.07807702031144675	0.03242947565846763	0.24355563088553456	-0.15543817305459806	-1.1079673034993445	0.8009530742684035	0.0684716665257453	-0.09823191651923782	-0.8465010996759014	-0.053668121883812085	0.059351972596028126	-0.44016503316077554	0.10335152914390841	-0.4804774785183011	0.15005237837351068	0.11135455256908798	0.013620023994306875	0.08785832461999822	0.11646285920919967	-0.29209618039649005	-0.2891126297836808	0.36674810198038427	-0.32437535001805917	0.024148880745167686	-0.1626378754111644	0.029865320980803207	0.03461950146333338	0.02765177573995511	0.1553181462838516	0.5027846053840936	-0.13972603733117991	0.42092443029321497	0.13672963051337125	-0.7387614205193739	0.14432927685052543	0.6127196493140803	-0.03679034392102984	-0.2143264883406622	0.13634247766630445	0.1297492896997572	0.19761909272589054	-0.23419546247288794	-0.25719147234242745	-0.38228500359998935	-0.5016469708629986	0.022343169384655436	0.040652121452235936	-0.14704684803398416
Cluster_8	0.6406686096586292	-1.088429455400085	-0.5145963511968167	-0.7897037923116161	-1.3286143877128929	-0.22886875118239589	-1.1686835377185483	-1.591002229319682	-1.386850660589712	-1.1038233248978722	-1.1380756641562415	-0.5005920580909713	-1.242738801610721	0.3294797605892337	-0.9303302418393079	-1.1811272377573312	3.3165745160982647	-1.1786814039467217	3.101767465828694	-1.0823494775080147	-0.07411232886128105	-1.1814657998286209	-0.7380513531302758	-1.304901628539909	1.323362504658175	-0.5209897391492879	-1.9331205623508938	-0.8623125797011898	-0.7878308573612333	1.8841979356614151	-0.6270653177939528	-0.5303823201774176	0.12135565663671448	-0.9961136446005001	-0.7547069150269928	-1.4920229782826304	-3.0106093730326133	-1.1233246650383668	-1.271493304466611	-1.7301385310950632	-3.4594316186372964	-0.664880711575474	-0.022262317990754746	-0.7777880763410889	-3.4594316186372964	-1.6744892926899435	-1.8401087370122085	-0.642847739350662	-1.4418527224147966	-0.3039976731361412	-0.918736644697502	-1.0651272573886685	-2.797019241379157
Cluster_9	-0.05487213074966354	-0.349615416449723	-0.19337578558457255	-0.4714145806803048	-0.5847334629060144	-0.20449698349597029	-0.29397497051093	-0.7680430228485127	-0.274087390281192	-0.6400420716904134	-1.0354568942754094	-0.3611443177482886	-0.3467228624629383	2.573951948458049	-0.5326668639768267	-0.9974867046740862	-0.30741075922872785	-0.10750680171533836	0.3003718754801737	-0.427468255408811	-0.7898044126880341	-0.3679737445309322	-0.806199459482746	-0.710879124461824	0.894369645215877	0.19999571368284064	-1.7409159017370774	2.0431763760401593	-0.46447412386794	-0.09693533686620251	-2.1784239456599765	-0.8588820410042028	-0.7383419147477136	-0.7600752182070587	-0.9808441186506826	0.23937067917255164	-1.9852073467144935	-0.3546729488059136	2.840714342756842	-0.27479961340324166	-1.626094295587889	-0.9819896631611442	-0.1677980746616875	-0.7106369464493361	-3.4594316186372964	-1.259961343436883	-2.083957703944721	-0.5941943852823752	-0.32238045007866284	-0.2848935753546578	-0.6520162282119649	-0.7159383235822788	-0.8199514833357994
