source	target	count
intestinal enteroendocrine cell	large intestine goblet cell	180
intestinal enteroendocrine cell	mast cell	19
intestinal enteroendocrine cell	monocyte	136
intestinal enteroendocrine cell	neutrophil	31
intestinal enteroendocrine cell	paneth cell of colon	112
intestinal enteroendocrine cell	plasma cell	39
intestinal enteroendocrine cell	transit amplifying cell of colon	111
intestinal tuft cell	B cell	27
intestinal tuft cell	CD4-positive, alpha-beta T cell	71
intestinal tuft cell	CD8-positive, alpha-beta T cell	71
intestinal tuft cell	enterocyte of epithelium of large intestine	134
intestinal tuft cell	fibroblast	109
intestinal tuft cell	gut endothelial cell	63
intestinal tuft cell	intestinal crypt stem cell of large intestine	83
intestinal tuft cell	intestinal enteroendocrine cell	55
intestinal tuft cell	large intestine goblet cell	113
intestinal tuft cell	mast cell	18
intestinal tuft cell	monocyte	90
intestinal tuft cell	neutrophil	23
intestinal tuft cell	paneth cell of colon	69
intestinal tuft cell	plasma cell	37
intestinal tuft cell	transit amplifying cell of colon	80
large intestine goblet cell	B cell	79
large intestine goblet cell	CD4-positive, alpha-beta T cell	199
large intestine goblet cell	CD8-positive, alpha-beta T cell	188
large intestine goblet cell	enterocyte of epithelium of large intestine	430
large intestine goblet cell	fibroblast	353
large intestine goblet cell	gut endothelial cell	169
large intestine goblet cell	intestinal crypt stem cell of large intestine	243
large intestine goblet cell	intestinal enteroendocrine cell	168
large intestine goblet cell	intestinal tuft cell	131
large intestine goblet cell	mast cell	44
large intestine goblet cell	monocyte	271
large intestine goblet cell	neutrophil	70
large intestine goblet cell	paneth cell of colon	214
large intestine goblet cell	plasma cell	80
large intestine goblet cell	transit amplifying cell of colon	226
mast cell	B cell	10
mast cell	CD4-positive, alpha-beta T cell	24
mast cell	CD8-positive, alpha-beta T cell	23
mast cell	enterocyte of epithelium of large intestine	49
mast cell	fibroblast	43
mast cell	gut endothelial cell	24
mast cell	intestinal crypt stem cell of large intestine	33
mast cell	intestinal enteroendocrine cell	21
mast cell	intestinal tuft cell	17
mast cell	large intestine goblet cell	45
mast cell	monocyte	31
mast cell	neutrophil	14
mast cell	paneth cell of colon	29
mast cell	plasma cell	15
mast cell	transit amplifying cell of colon	34
monocyte	B cell	58
monocyte	CD4-positive, alpha-beta T cell	174
monocyte	CD8-positive, alpha-beta T cell	147
monocyte	enterocyte of epithelium of large intestine	373
monocyte	fibroblast	315
monocyte	gut endothelial cell	136
monocyte	intestinal crypt stem cell of large intestine	219
monocyte	intestinal enteroendocrine cell	149
monocyte	intestinal tuft cell	119
monocyte	large intestine goblet cell	311
monocyte	mast cell	35
monocyte	neutrophil	57
monocyte	paneth cell of colon	188
monocyte	plasma cell	71
monocyte	transit amplifying cell of colon	180
neutrophil	B cell	29
neutrophil	CD4-positive, alpha-beta T cell	46
neutrophil	CD8-positive, alpha-beta T cell	50
neutrophil	enterocyte of epithelium of large intestine	84
neutrophil	fibroblast	59
neutrophil	gut endothelial cell	35
neutrophil	intestinal crypt stem cell of large intestine	47
neutrophil	intestinal enteroendocrine cell	30
neutrophil	intestinal tuft cell	23
neutrophil	large intestine goblet cell	68
neutrophil	mast cell	10
neutrophil	monocyte	40
neutrophil	paneth cell of colon	35
neutrophil	plasma cell	19
neutrophil	transit amplifying cell of colon	48
paneth cell of colon	B cell	51
paneth cell of colon	CD4-positive, alpha-beta T cell	133
paneth cell of colon	CD8-positive, alpha-beta T cell	120
paneth cell of colon	enterocyte of epithelium of large intestine	309
paneth cell of colon	fibroblast	265
paneth cell of colon	gut endothelial cell	116
paneth cell of colon	intestinal crypt stem cell of large intestine	177
paneth cell of colon	intestinal enteroendocrine cell	122
paneth cell of colon	intestinal tuft cell	89
paneth cell of colon	large intestine goblet cell	271
paneth cell of colon	mast cell	26
paneth cell of colon	monocyte	193
paneth cell of colon	neutrophil	46
paneth cell of colon	plasma cell	55
paneth cell of colon	transit amplifying cell of colon	152
plasma cell	B cell	40
plasma cell	CD4-positive, alpha-beta T cell	79
plasma cell	CD8-positive, alpha-beta T cell	77
plasma cell	enterocyte of epithelium of large intestine	142
plasma cell	fibroblast	113
plasma cell	gut endothelial cell	57
plasma cell	intestinal crypt stem cell of large intestine	87
plasma cell	intestinal enteroendocrine cell	51
plasma cell	intestinal tuft cell	38
plasma cell	large intestine goblet cell	112
