Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
ENSG00000107796	0.0454179265639332	0.0	5.7142138112839057e-08	0.0
ENSG00000177954	0.0446025752027032	0.0	5.7142138112839057e-08	0.0
ENSG00000112306	0.0431580418402229	0.0	5.7142138112839057e-08	0.0
ENSG00000156482	0.0430499200172801	0.0	5.7142138112839057e-08	0.0
ENSG00000198918	0.0427958267974135	0.0	5.7142138112839057e-08	0.0
ENSG00000109475	0.0426661341636482	0.0	5.7142138112839057e-08	0.0
ENSG00000167641	0.0426556827645138	0.0	5.7142138112839057e-08	0.0
ENSG00000142676	0.0422783070749596	0.0	5.7142138112839057e-08	0.0
ENSG00000134419	0.0412065840282879	0.0	5.7142138112839057e-08	0.0
ENSG00000142910	0.0409638179481837	0.0	5.7142138112839057e-08	0.0
ENSG00000198851	0.040597061776082	0.0	5.7142138112839057e-08	0.0
ENSG00000140416	0.0405755728807084	0.0	5.7142138112839057e-08	0.0
ENSG00000198467	0.0400558761843387	0.0	5.7142138112839057e-08	0.0
ENSG00000101335	0.0398162426983504	0.0	5.7142138112839057e-08	0.0
ENSG00000159176	0.0396635782928703	0.0	5.7142138112839057e-08	0.0
ENSG00000145592	0.0395392397969656	0.0	5.7142138112839057e-08	0.0
ENSG00000121966	0.0390503538970554	0.0	5.7142138112839057e-08	0.0
ENSG00000133872	0.0389968897776083	0.0	5.7142138112839057e-08	0.0
ENSG00000149591	0.0388895645546103	0.0	5.7142138112839057e-08	0.0
ENSG00000152518	0.0381378232964147	0.0	5.7142138112839057e-08	0.0
ENSG00000065534	0.0379079008937701	0.0	5.7142138112839057e-08	0.0
ENSG00000148671	0.0379008533638828	0.0	5.7142138112839057e-08	0.0
ENSG00000175899	0.0378199613187624	0.0	5.7142138112839057e-08	0.0
ENSG00000239264	0.0375637358688427	0.0	5.7142138112839057e-08	0.0
ENSG00000145425	0.0374862826843795	0.0	5.7142138112839057e-08	0.0
ENSG00000167526	0.0374411729412293	0.0	5.7142138112839057e-08	0.0
ENSG00000233927	0.0372790885066385	0.0	5.7142138112839057e-08	0.0
ENSG00000108107	0.0370690974167131	0.0	5.7142138112839057e-08	0.0
ENSG00000149273	0.0369445295621308	0.0	5.7142138112839057e-08	0.0
ENSG00000213741	0.0368663808057383	0.0	5.7142138112839057e-08	0.0
ENSG00000182899	0.0364066760294713	0.0	5.7142138112839057e-08	0.0
ENSG00000144713	0.0363119761756801	0.0	5.7142138112839057e-08	0.0
ENSG00000171858	0.0362974816009001	0.0	5.7142138112839057e-08	0.0
ENSG00000143947	0.0362139209681612	0.0	5.7142138112839057e-08	0.0
ENSG00000081237	0.0360967761699655	0.0	5.7142138112839057e-08	0.0
ENSG00000168685	0.0360459284436328	0.0	5.7142138112839057e-08	0.0
ENSG00000170476	0.0357885420012926	0.0	5.7142138112839057e-08	0.0
ENSG00000156508	0.0356711225856281	0.0	5.7142138112839057e-08	0.0
ENSG00000133112	0.0355736385929636	0.0	5.7142138112839057e-08	0.0
ENSG00000110848	0.0350265966008666	0.0	5.7142138112839057e-08	0.0
ENSG00000163453	0.0347347063472224	0.0	5.7142138112839057e-08	0.0
ENSG00000115268	0.0346994181832413	0.0	5.7142138112839057e-08	0.0
ENSG00000167286	0.0346112245903093	0.0	5.7142138112839057e-08	0.0
ENSG00000116016	0.0344921604729632	0.0	5.7142138112839057e-08	0.0
ENSG00000076706	0.0342097527939238	0.0	5.7142138112839057e-08	0.0
ENSG00000186468	0.0342076391021355	0.0	5.7142138112839057e-08	0.0
ENSG00000147403	0.0340740850613184	0.0	5.7142138112839057e-08	0.0
ENSG00000122786	0.0340333594301956	0.0	5.7142138112839057e-08	0.0
ENSG00000105974	0.0338189179178415	0.0	5.7142138112839057e-08	0.0
ENSG00000130176	0.0335529046878975	0.0	5.7142138112839057e-08	0.0
ENSG00000133639	0.0334472067194298	0.0	5.7142138112839057e-08	0.0
ENSG00000092841	0.0333178163670163	0.0	5.7142138112839057e-08	0.0
ENSG00000164587	0.0331641776378921	0.0	5.7142138112839057e-08	0.0
ENSG00000118181	0.0327313515455017	0.0	5.7142138112839057e-08	0.0
ENSG00000072818	0.0326746423145706	0.0	5.7142138112839057e-08	0.0
ENSG00000074181	0.032217206387481	0.0	5.7142138112839057e-08	0.0
ENSG00000101439	0.0320485177250742	0.0	5.7142138112839057e-08	0.0
ENSG00000188042	0.0320417860399643	0.0	5.7142138112839057e-08	0.0
ENSG00000140682	0.0319831623989698	0.0	5.7142138112839057e-08	0.0
ENSG00000060138	0.0318922880367821	0.0	5.7142138112839057e-08	0.0
ENSG00000132465	0.031854940768357	0.0	5.7142138112839057e-08	0.0
