column	ligand	receptor	value	count	source	target	tissue	region
B cell|CD141-positive myeloid dendritic cell	CADM3	CADM1	0.246	26	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM673.TNZM.339_reg001
B cell|CD141-positive myeloid dendritic cell	CEACAM1	SELE	1.305	26	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM673.TNZM.339_reg001
B cell|CD141-positive myeloid dendritic cell	COL4A3	ADGRG6	1.824	26	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM673.TNZM.339_reg001
B cell|CD141-positive myeloid dendritic cell	COL4A4	ADGRG6	1.719	26	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM673.TNZM.339_reg001
B cell|CD141-positive myeloid dendritic cell	COL4A5	ADGRG6	1.475	26	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM673.TNZM.339_reg001
B cell|CD141-positive myeloid dendritic cell	ENTPD1	ADORA2A	1.301	26	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM673.TNZM.339_reg001
B cell|CD141-positive myeloid dendritic cell	ENTPD1	ADORA2B	0.304	26	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM673.TNZM.339_reg001
B cell|CD141-positive myeloid dendritic cell	APP	CD74	0.626	26	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM673.TNZM.339_reg001
B cell|CD141-positive myeloid dendritic cell	APP	TNFRSF21	0.276	26	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM673.TNZM.339_reg001
B cell|CD141-positive myeloid dendritic cell	BDNF	SORT1	0.079	26	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM673.TNZM.339_reg001
B cell|CD141-positive myeloid dendritic cell	EFNA3	EPHA2	3.985	26	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM673.TNZM.339_reg001
B cell|CD141-positive myeloid dendritic cell	EFNA3	EPHA3	0.192	26	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM673.TNZM.339_reg001
B cell|CD141-positive myeloid dendritic cell	LGALS9	HAVCR2	1.129	26	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM673.TNZM.339_reg001
B cell|CD141-positive myeloid dendritic cell	LGALS9	P4HB	0.46	26	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM673.TNZM.339_reg001
B cell|CD141-positive myeloid dendritic cell	NPPA	NPR1	3.282	26	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM673.TNZM.339_reg001
B cell|CD141-positive myeloid dendritic cell	DLL3	NOTCH2	0.336	26	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM673.TNZM.339_reg001
B cell|CD141-positive myeloid dendritic cell	PGF	FLT1	0.01	26	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM673.TNZM.339_reg001
B cell|CD141-positive myeloid dendritic cell	VEGFB	FLT1	0.122	26	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM673.TNZM.339_reg001
B cell|CD141-positive myeloid dendritic cell	PGF	NRP2	2.949	26	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM673.TNZM.339_reg001
B cell|CD141-positive myeloid dendritic cell	SEMA7A	PLXNC1	0.569	26	B cell	CD141-positive myeloid dendritic cell	lymph_node	HBM673.TNZM.339_reg001
