source	target	count
erythrocyte	hematopoietic stem cell	26
erythrocyte	innate lymphoid cell	21
erythrocyte	intermediate monocyte	18
erythrocyte	macrophage	70
erythrocyte	mature NK T cell	60
erythrocyte	memory B cell	80
erythrocyte	naive B cell	28
erythrocyte	naive thymus-derived CD4-positive, alpha-beta T cell	52
erythrocyte	naive thymus-derived CD8-positive, alpha-beta T cell	33
erythrocyte	neutrophil	49
erythrocyte	plasma cell	84
erythrocyte	plasmacytoid dendritic cell	40
erythrocyte	platelet	26
erythrocyte	regulatory T cell	43
erythrocyte	type I NK T cell	63
hematopoietic stem cell	CD1c-positive myeloid dendritic cell	66
hematopoietic stem cell	CD4-positive, alpha-beta memory T cell	96
hematopoietic stem cell	CD8-positive, alpha-beta memory T cell	118
hematopoietic stem cell	classical monocyte	126
hematopoietic stem cell	endothelial cell	119
hematopoietic stem cell	erythrocyte	25
hematopoietic stem cell	innate lymphoid cell	42
hematopoietic stem cell	intermediate monocyte	29
hematopoietic stem cell	macrophage	111
hematopoietic stem cell	mature NK T cell	101
hematopoietic stem cell	memory B cell	120
hematopoietic stem cell	naive B cell	41
hematopoietic stem cell	naive thymus-derived CD4-positive, alpha-beta T cell	91
hematopoietic stem cell	naive thymus-derived CD8-positive, alpha-beta T cell	48
hematopoietic stem cell	neutrophil	76
hematopoietic stem cell	plasma cell	128
hematopoietic stem cell	plasmacytoid dendritic cell	63
hematopoietic stem cell	platelet	43
hematopoietic stem cell	regulatory T cell	78
hematopoietic stem cell	type I NK T cell	99
innate lymphoid cell	CD1c-positive myeloid dendritic cell	73
innate lymphoid cell	CD4-positive, alpha-beta memory T cell	111
innate lymphoid cell	CD8-positive, alpha-beta memory T cell	139
innate lymphoid cell	classical monocyte	147
innate lymphoid cell	endothelial cell	131
innate lymphoid cell	erythrocyte	34
innate lymphoid cell	hematopoietic stem cell	54
innate lymphoid cell	intermediate monocyte	43
innate lymphoid cell	macrophage	135
innate lymphoid cell	mature NK T cell	116
innate lymphoid cell	memory B cell	143
innate lymphoid cell	naive B cell	55
innate lymphoid cell	naive thymus-derived CD4-positive, alpha-beta T cell	98
innate lymphoid cell	naive thymus-derived CD8-positive, alpha-beta T cell	67
innate lymphoid cell	neutrophil	94
innate lymphoid cell	plasma cell	148
innate lymphoid cell	plasmacytoid dendritic cell	86
innate lymphoid cell	platelet	46
innate lymphoid cell	regulatory T cell	79
innate lymphoid cell	type I NK T cell	111
intermediate monocyte	CD1c-positive myeloid dendritic cell	55
intermediate monocyte	CD4-positive, alpha-beta memory T cell	67
intermediate monocyte	CD8-positive, alpha-beta memory T cell	82
intermediate monocyte	classical monocyte	88
intermediate monocyte	endothelial cell	83
