Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
ENSG00000109475	0.0462329525709145	0.0	4.640120396084362e-08	0.0
ENSG00000134531	0.0453906595909834	0.0	4.640120396084362e-08	0.0
ENSG00000156482	0.0451077066005002	0.0	4.640120396084362e-08	0.0
ENSG00000198918	0.0449367465907789	0.0	4.640120396084362e-08	0.0
ENSG00000177954	0.0448191364352384	0.0	4.640120396084362e-08	0.0
ENSG00000170476	0.043781503589976	0.0	4.640120396084362e-08	0.0
ENSG00000148180	0.0436385293960088	0.0	4.640120396084362e-08	0.0
ENSG00000101439	0.0436356275105382	0.0	4.640120396084362e-08	0.0
ENSG00000142676	0.0426755014979033	0.0	4.640120396084362e-08	0.0
ENSG00000144713	0.0423760679478912	0.0	4.640120396084362e-08	0.0
ENSG00000145425	0.0423348435442311	0.0	4.640120396084362e-08	0.0
ENSG00000123384	0.0421728837941438	0.0	4.640120396084362e-08	0.0
ENSG00000167526	0.0413763364730673	0.0	4.640120396084362e-08	0.0
ENSG00000221869	0.0406289334987765	0.0	4.640120396084362e-08	0.0
ENSG00000112306	0.0402210867448918	0.0	4.640120396084362e-08	0.0
ENSG00000164587	0.0398420388969505	0.0	4.640120396084362e-08	0.0
ENSG00000120738	0.0397422636065013	0.0	4.640120396084362e-08	0.0
ENSG00000145592	0.0395587544165788	0.0	4.640120396084362e-08	0.0
ENSG00000134419	0.0392361266949682	0.0	4.640120396084362e-08	0.0
ENSG00000132465	0.039094874762245	0.0	4.640120396084362e-08	0.0
ENSG00000239264	0.0388076120145935	0.0	4.640120396084362e-08	0.0
ENSG00000142089	0.0386887834712799	0.0	4.640120396084362e-08	0.0
ENSG00000099958	0.0382290045958747	0.0	4.640120396084362e-08	0.0
ENSG00000186468	0.0377775274448674	0.0	4.640120396084362e-08	0.0
ENSG00000149273	0.0376988242364711	0.0	4.640120396084362e-08	0.0
ENSG00000110777	0.0375819534078873	0.0	4.640120396084362e-08	0.0
ENSG00000133872	0.0374145358035871	0.0	4.640120396084362e-08	0.0
ENSG00000121966	0.037228639592473	0.0	4.640120396084362e-08	0.0
ENSG00000147403	0.037121083930923	0.0	4.640120396084362e-08	0.0
ENSG00000143947	0.0370911981788826	0.0	4.640120396084362e-08	0.0
ENSG00000171858	0.0369628604846575	0.0	4.640120396084362e-08	0.0
ENSG00000149131	0.0369565288043609	0.0	4.640120396084362e-08	0.0
ENSG00000182899	0.036915997078626	0.0	4.640120396084362e-08	0.0
ENSG00000166741	0.0368313430310787	0.0	4.640120396084362e-08	0.0
ENSG00000250722	0.0367313351606977	0.0	4.640120396084362e-08	0.0
ENSG00000110700	0.0366660755970284	0.0	4.640120396084362e-08	0.0
ENSG00000154734	0.0366656271669756	0.0	4.640120396084362e-08	0.0
ENSG00000011465	0.0365325042433646	0.0	4.640120396084362e-08	0.0
ENSG00000156508	0.0362634158250912	0.0	4.640120396084362e-08	0.0
ENSG00000198851	0.0361130332186086	0.0	4.640120396084362e-08	0.0
ENSG00000135047	0.0360530530234528	0.0	4.640120396084362e-08	0.0
ENSG00000197766	0.0359663550450145	0.0	4.640120396084362e-08	0.0
ENSG00000182326	0.0359327136470669	0.0	4.640120396084362e-08	0.0
ENSG00000087245	0.0358167620808875	0.0	4.640120396084362e-08	0.0
ENSG00000163520	0.0357120180253751	0.0	4.640120396084362e-08	0.0
ENSG00000131981	0.035691178401238	0.0	4.640120396084362e-08	0.0
ENSG00000111341	0.0356908137563932	0.0	4.640120396084362e-08	0.0
ENSG00000122026	0.0355721733211414	0.0	4.640120396084362e-08	0.0
ENSG00000115268	0.0355370442272936	0.0	4.640120396084362e-08	0.0
ENSG00000168685	0.0352506700488851	0.0	4.640120396084362e-08	0.0
ENSG00000197958	0.0351151128571716	0.0	4.640120396084362e-08	0.0
ENSG00000233927	0.0351054889396247	0.0	4.640120396084362e-08	0.0
ENSG00000125730	0.0350981072844011	0.0	4.640120396084362e-08	0.0
ENSG00000163682	0.0350719868383656	0.0	4.640120396084362e-08	0.0
ENSG00000008394	0.0349862510015306	0.0	4.640120396084362e-08	0.0
ENSG00000048462	0.0349809820625839	0.0	4.640120396084362e-08	0.0
ENSG00000109099	0.0348800204384571	0.0	4.640120396084362e-08	0.0
ENSG00000118181	0.0347544985261567	0.0	4.640120396084362e-08	0.0
ENSG00000130255	0.0347179684371572	0.0	4.640120396084362e-08	0.0
ENSG00000108107	0.034616647199437	0.0	4.640120396084362e-08	0.0
ENSG00000163453	0.0345891538611636	0.0	4.640120396084362e-08	0.0
ENSG00000177600	0.0345806997201446	0.0	4.640120396084362e-08	0.0
ENSG00000141753	0.034495376831835	0.0	4.640120396084362e-08	0.0
ENSG00000196569	0.0344853792065196	0.0	4.640120396084362e-08	0.0
ENSG00000133639	0.0341202306538152	0.0	4.640120396084362e-08	0.0
ENSG00000182718	0.0341060924183033	0.0	4.640120396084362e-08	0.0
ENSG00000135404	0.0338572317167671	0.0	4.640120396084362e-08	0.0
ENSG00000196616	0.0338474266225614	0.0	4.640120396084362e-08	0.0
ENSG00000077942	0.0337520935316988	0.0	4.640120396084362e-08	0.0
ENSG00000108298	0.0336689689335005	0.0	4.640120396084362e-08	0.0
ENSG00000162244	0.0335728750139916	0.0	4.640120396084362e-08	0.0
ENSG00000112936	0.033564060944092	0.0	4.640120396084362e-08	0.0
ENSG00000213741	0.0335305385059753	0.0	4.640120396084362e-08	0.0
ENSG00000123358	0.0334886740437124	0.0	4.640120396084362e-08	0.0
ENSG00000188846	0.0333084471094828	0.0	4.640120396084362e-08	0.0
ENSG00000189058	0.0330064621893947	0.0	4.640120396084362e-08	0.0
ENSG00000063177	0.0329395094448266	0.0	4.640120396084362e-08	0.0
ENSG00000100234	0.0329174923724797	0.0	4.640120396084362e-08	0.0
ENSG00000101057	0.0328172206659597	0.0	4.640120396084362e-08	0.0
ENSG00000234741	0.0327860041543001	0.0	4.640120396084362e-08	0.0
ENSG00000026751	0.0326572036184251	0.0	4.640120396084362e-08	0.0
ENSG00000060138	0.0325788665378462	0.0	4.640120396084362e-08	0.0
ENSG00000035862	0.0325336806672955	0.0	4.640120396084362e-08	0.0
ENSG00000128340	0.0323616068656446	0.0	4.640120396084362e-08	0.0
ENSG00000141338	0.0323114346353571	0.0	4.640120396084362e-08	0.0
ENSG00000231500	0.0322543106135203	0.0	4.640120396084362e-08	0.0
ENSG00000133112	0.0321182862066043	0.0	4.640120396084362e-08	0.0
ENSG00000100979	0.0318537277021692	0.0	4.640120396084362e-08	0.0
ENSG00000125148	0.0316113854770123	0.0	4.640120396084362e-08	0.0
ENSG00000143870	0.0315825082965395	0.0	4.640120396084362e-08	0.0
ENSG00000189171	0.0314616771830426	0.0	4.640120396084362e-08	0.0
ENSG00000132386	0.0313007823761715	0.0	4.640120396084362e-08	0.0
ENSG00000139329	0.0312241876107756	0.0	4.640120396084362e-08	0.0
ENSG00000004468	0.0312048370042493	0.0	4.640120396084362e-08	0.0
ENSG00000175899	0.0312038135473915	0.0	4.640120396084362e-08	0.0
ENSG00000105373	0.0311465074760802	0.0	4.640120396084362e-08	0.0
ENSG00000100316	0.0311378954285612	0.0	4.640120396084362e-08	0.0
ENSG00000124762	0.0309315076339675	0.0	4.640120396084362e-08	0.0
ENSG00000159403	0.0309217721688908	0.0	4.640120396084362e-08	0.0
ENSG00000229117	0.0309172082722203	0.0	4.640120396084362e-08	0.0
ENSG00000172183	0.0308603288955234	0.0	4.640120396084362e-08	0.0
ENSG00000026025	0.030815597512976	0.0	4.640120396084362e-08	0.0
ENSG00000102265	0.0307900974768273	0.0	4.640120396084362e-08	0.0
ENSG00000122406	0.0307359284693023	0.0	4.640120396084362e-08	0.0
ENSG00000104870	0.0307119316259895	0.0	4.640120396084362e-08	0.0
ENSG00000143819	0.0306383000418122	0.0	4.640120396084362e-08	0.0
ENSG00000105640	0.0306058906431224	0.0	4.640120396084362e-08	0.0
ENSG00000211893	0.0306046764644939	0.0	4.640120396084362e-08	0.0
