Region	B cell	effector CD4-positive, alpha-beta T cell	classical monocyte	effector CD8-positive, alpha-beta T cell	macrophage	T cell	type I NK T cell	plasma cell	mature NK T cell	innate lymphoid cell	regulatory T cell	stromal cell	endothelial cell	intermediate monocyte	mature conventional dendritic cell	CD1c-positive myeloid dendritic cell	neutrophil	erythrocyte	CD141-positive myeloid dendritic cell	mast cell	non-classical monocyte	hematopoietic stem cell
HBM347.PSLC.425_reg1	15760	12941	220	7887	2206	10268	5380	9112	519	2036	2060	1995	1333	106	75	43	135	67	182	54	22	34
HBM796.FXBG.243_reg1	1719	7189	93	6396	1162	5132	3366	5394	439	1114	1488	755	388	52	26	18	91	62	41	31	18	15
HBM557.SGTC.262_reg1	24920	11408	393	10352	5494	7843	5121	18802	581	1526	2995	2075	879	242	125	83	319	52	202	48	73	38
HBM685.TBGN.663_reg1	18312	4635	307	4484	4145	3087	2129	5502	391	858	1129	2176	820	194	111	100	260	45	525	114	43	118
HBM522.BSZT.385_reg1	47072	16819	603	9738	6060	11778	6624	3156	656	2749	2331	811	685	355	127	115	430	37	199	65	16	16
HBM254.XGFQ.345_reg1	1122	10996	10	16652	746	6576	6615	15861	371	1139	4589	2879	465	15	31	106	10	299	103	79	2	5
HBM387.QZQF.984_reg001	40014	8833	294	7385	6661	4864	3554	14742	497	1173	2323	947	1212	421	174	149	349	62	1006	32	124	186
HBM695.NCKX.893_reg1	2092	4961	127	4452	1034	3531	2867	2232	624	1402	923	865	749	77	47	21	144	72	83	19	16	11
HBM437.XSFH.532_reg1	4055	6384	173	4591	2788	5083	2949	5017	461	1104	1198	773	739	79	66	33	154	51	92	78	55	29
HBM997.PVCF.629_reg1	8106	6667	257	4664	2204	5240	3192	4033	294	1271	1135	449	432	91	39	61	150	16	59	36	8	15
HBM435.FHMP.758_reg001	11680	4127	171	2815	1618	3123	1529	1294	86	506	771	532	158	53	31	9	48	11	40	17	9	2
HBM443.FDHZ.888_reg001	25130	11195	127	7181	1269	8688	5131	3986	755	2377	1776	1147	1900	47	135	23	172	30	177	66	5	18
HBM585.SVFL.994_reg1	3303	19565	231	21762	4418	12969	11678	10626	2130	4243	5197	4893	1643	158	77	47	274	547	154	126	92	12
HBM822.MQNG.225_reg1	1539	7344	64	8994	1294	4571	4262	12712	458	1107	2183	1670	396	63	28	24	52	114	114	31	29	9
HBM545.FGNZ.644_reg1	7294	13230	209	11269	3716	9864	7454	16377	1052	2837	2408	3576	1226	85	131	44	212	168	325	102	83	80
HBM938.TNNT.879_reg1	42970	22838	750	19241	8670	15989	10855	15795	923	2891	4146	2889	845	390	196	110	529	97	223	62	55	32
HBM989.VVXT.224_reg1	5314	7253	197	5360	3055	5805	3149	5495	485	1140	1375	884	974	92	61	37	182	30	92	101	37	25
HBM332.QJCH.296_reg001	45638	9738	1168	7948	17405	6678	4007	3180	606	1701	1836	2325	914	985	181	191	519	61	715	57	159	117
HBM992.RHJW.288_reg1	52694	14833	498	10639	8091	9206	6229	3922	677	2252	2259	1601	1419	344	246	218	307	53	1162	98	79	180
HBM362.RFHX.274_reg1	2459	10590	63	10905	1208	7503	5504	17530	455	1275	2591	1267	468	49	22	30	68	110	113	19	36	11
HBM622.JXWQ.554_reg1	20816	15051	385	7548	3998	12288	5995	2860	490	2442	2226	1184	1370	150	125	57	320	19	233	255	8	83
HBM268.NKXB.243_reg1	21792	6056	348	5997	4691	4143	2832	5609	467	1118	1146	3603	1064	199	116	132	288	62	529	121	36	66
HBM673.TNZM.339_reg001	20359	5742	395	4917	7506	3967	2470	12396	371	990	1754	1581	688	289	132	146	255	46	381	43	84	41
